ts,event_type,kind,reject_reason,delta,vol,imb,price,vwap,poc,matched_feed_ts,matched_open_interest,matched_funding_rate,matched_liq_buy_qty,matched_liq_sell_qty,source_file,terminal_decision_present,prev_price,prev_vol,prev_vwap,comparison_price_pass,comparison_vol_pass,comparison_vwap_pass,comparison_3of3_pass_count,comparison_3of3_failed_subconditions
2026-04-05 00:20:00,DELTA_MAX,long,,26.77,29.04,0.922,67441.310528,67074.0,66860.0,2026-04-05 00:20:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 00:20:00,CANDIDATE_COMPARISON_REJECT,long,3of3_fail,26.77,29.04,0.922,67441.310528,67074.0,,2026-04-05 00:20:00,,,,,2026-04-05.jsonl,True,67451.71266,46.115700000000004,67066,False,False,True,1,price|vol
2026-04-05 00:45:00,DELTA_MAX,long,,56.86,59.51,0.956,67425.301849,67085.0,66860.0,2026-04-05 00:45:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 00:45:00,CANDIDATE_COMPARISON_REJECT,long,3of3_fail,56.86,59.51,0.956,67425.301849,67085.0,,2026-04-05 00:45:00,,,,,2026-04-05.jsonl,True,67441.310528,29.04393,67074,False,True,True,2,price
2026-04-05 00:46:00,DELTA_MIN,short,,-49.7,51.92,0.957,67433.977534,67087.0,66860.0,2026-04-05 00:46:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 00:46:00,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-49.7,51.92,0.957,67433.977534,67087.0,,2026-04-05 00:46:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 01:10:00,DELTA_MAX,long,,61.37,65.99,0.93,67359.782898,67093.0,66860.0,2026-04-05 01:10:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 01:10:00,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,61.37,65.99,0.93,67359.782898,67093.0,,2026-04-05 01:10:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 01:11:00,DELTA_MIN,short,,-57.25,62.48,0.916,67374.056978,67095.0,66860.0,2026-04-05 01:11:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 01:11:00,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-57.25,62.48,0.916,67374.056978,67095.0,,2026-04-05 01:11:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 01:46:00,DELTA_MIN,short,,-76.05,77.93,0.976,67299.605467,67106.0,66860.0,2026-04-05 01:46:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 01:46:00,CANDIDATE_COMPARISON_REJECT,short,vwap_side,-76.05,77.93,0.976,67299.605467,67106.0,,2026-04-05 01:46:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 07:20:00,DELTA_MIN,short,,-31.97,48.36,0.661,67132.459132,67155.0,67170.0,2026-04-05 07:20:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 07:20:00,CANDIDATE_COMPARISON_REJECT,short,3of3_fail,-31.97,48.36,0.661,67132.459132,67155.0,,2026-04-05 07:20:00,,,,,2026-04-05.jsonl,True,67299.605467,77.92641,67106,True,False,False,1,vol|vwap
2026-04-05 07:57:00,DELTA_MIN,short,,-68.22,77.65,0.879,66926.067026,67153.0,67170.0,2026-04-05 07:57:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 07:57:00,CANDIDATE_GATE_REJECT,short,imb_band,,,0.879,,,,2026-04-05 07:57:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 08:41:00,DELTA_MAX,long,,48.73,67.01,0.727,66827.00019,67144.0,67170.0,2026-04-05 08:41:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 08:41:00,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,48.73,67.01,0.727,66827.00019,67144.0,,2026-04-05 08:41:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 09:01:00,DELTA_MAX,long,,85.78,93.56,0.917,66828.401164,67138.0,66830.0,2026-04-05 09:01:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 09:01:00,CANDIDATE_COMPARISON_REJECT,long,vwap_side,85.78,93.56,0.917,66828.401164,67138.0,,2026-04-05 09:01:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 09:53:00,DELTA_MAX,long,,100.28,118.01,0.85,66781.805224,67124.0,66830.0,2026-04-05 09:53:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 09:53:00,CANDIDATE_COMPARISON_REJECT,long,vwap_side,100.28,118.01,0.85,66781.805224,67124.0,,2026-04-05 09:53:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 13:15:00,DELTA_MIN,short,,-16.65,17.82,0.935,67058.049316,67132.0,66830.0,2026-04-05 13:15:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 13:15:00,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-16.65,17.82,0.935,67058.049316,67132.0,,2026-04-05 13:15:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 13:35:00,DELTA_MAX,long,,20.53,36.3,0.566,67004.06762,67131.0,66830.0,2026-04-05 13:35:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 13:35:00,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,20.53,36.3,0.566,67004.06762,67131.0,,2026-04-05 13:35:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 14:31:00,DELTA_MIN,short,,-16.86,24.45,0.69,66871.239577,67124.0,66830.0,2026-04-05 14:31:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 14:31:00,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-16.86,24.45,0.69,66871.239577,67124.0,,2026-04-05 14:31:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 14:33:00,DELTA_MIN,short,,-17.07,20.68,0.826,66815.940863,67123.0,66830.0,2026-04-05 14:33:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 14:33:00,CANDIDATE_COMPARISON_REJECT,short,3of3_fail,-17.07,20.68,0.826,66815.940863,67123.0,,2026-04-05 14:33:00,,,,,2026-04-05.jsonl,True,66871.239577,24.45497,67124,True,False,True,2,vol
2026-04-05 14:34:00,DELTA_MIN,short,,-20.4,33.17,0.615,66774.628139,67121.0,66830.0,2026-04-05 14:34:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 14:34:00,PEAK_EMIT,short,,-20.4,33.17,0.615,66774.628139,67121.0,66830.0,2026-04-05 14:34:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 17:15:00,DELTA_MIN,short,,-20.62,23.59,0.874,66944.472184,67081.0,66830.0,2026-04-05 17:15:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 17:15:00,CANDIDATE_COMPARISON_REJECT,short,3of3_fail,-20.62,23.59,0.874,66944.472184,67081.0,,2026-04-05 17:15:00,,,,,2026-04-05.jsonl,True,66774.628139,33.17085,67121,False,False,True,1,price|vol
2026-04-05 17:26:00,DELTA_MAX,long,,22.11,36.23,0.61,67044.709589,67080.0,66830.0,2026-04-05 17:26:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 17:26:00,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,22.11,36.23,0.61,67044.709589,67080.0,,2026-04-05 17:26:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 17:27:00,DELTA_MAX,long,,30.9,124.33,0.249,67256.998756,67082.0,66830.0,2026-04-05 17:27:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 17:27:00,CANDIDATE_GATE_REJECT,long,chop_coh,,,0.249,,,,2026-04-05 17:27:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 17:29:00,DELTA_MAX,long,,59.52,134.11,0.444,67473.035865,67090.0,66830.0,2026-04-05 17:29:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 17:29:00,CANDIDATE_GATE_REJECT,long,imb_band,,,0.444,,,,2026-04-05 17:29:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 17:41:00,DELTA_MIN,short,,-27.76,52.12,0.533,67351.790896,67128.0,66830.0,2026-04-05 17:41:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 17:41:00,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-27.76,52.12,0.533,67351.790896,67128.0,,2026-04-05 17:41:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 21:14:00,DELTA_MAX,long,,7.83,11.59,0.676,67410.997248,67118.0,66830.0,2026-04-05 21:14:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 21:14:00,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,7.83,11.59,0.676,67410.997248,67118.0,,2026-04-05 21:14:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 21:19:00,DELTA_MAX,long,,10.87,14.13,0.769,67446.647978,67118.0,66830.0,2026-04-05 21:19:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 21:19:00,CANDIDATE_COMPARISON_REJECT,long,3of3_fail,10.87,14.13,0.769,67446.647978,67118.0,,2026-04-05 21:19:00,,,,,2026-04-05.jsonl,True,67410.997248,11.58808,67118,True,True,False,2,vwap
2026-04-05 21:20:00,DELTA_MAX,long,,14.5,16.86,0.86,67477.705693,67118.0,66830.0,2026-04-05 21:20:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 21:20:00,CANDIDATE_COMPARISON_REJECT,long,3of3_fail,14.5,16.86,0.86,67477.705693,67118.0,,2026-04-05 21:20:00,,,,,2026-04-05.jsonl,True,67446.647978,14.1264,67118,True,True,False,2,vwap
2026-04-05 22:38:00,DELTA_MAX,long,,54.02,104.06,0.519,67621.53412,67127.0,66830.0,2026-04-05 22:38:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 22:38:00,CANDIDATE_GATE_REJECT,long,imb_band,,,0.519,,,,2026-04-05 22:38:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 23:14:00,DELTA_MIN,short,,-25.43,82.75,0.307,67460.14441,67139.0,66830.0,2026-04-05 23:14:00,,,,,2026-04-05.jsonl,True,,,,,,,,
2026-04-05 23:14:00,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-25.43,82.75,0.307,67460.14441,67139.0,,2026-04-05 23:14:00,,,,,2026-04-05.jsonl,True,,,,,,,,
