target_ts,session_date,event_type,kind,reject_reason,reason_selected,selection_priority,source_basis,selected_case_source
2026-03-20 00:40:00,2026-03-20,PEAK_EMIT,short,,accepted reference case,1000,accepted_event_context,accepted_reference
2026-03-29 19:23:00,2026-03-29,PEAK_EMIT,short,,accepted reference case,1000,accepted_event_context,accepted_reference
2026-04-03 16:20:00,2026-04-03,PEAK_EMIT,long,,accepted reference case,1000,accepted_event_context,accepted_reference
2026-04-04 23:56:00,2026-04-04,PEAK_EMIT,long,,accepted reference case,1000,accepted_event_context,accepted_reference
2026-03-31 01:46:00,2026-03-31,CANDIDATE_COMPARISON_REJECT,short,3of3_fail,"anomaly coverage, 3of3_fail, unclear_but_constructive, IR_F1",610,reject_event_context+interesting_rejects,anomaly_case
2026-03-17 05:45:00,2026-03-17,CANDIDATE_COMPARISON_REJECT,short,3of3_fail,"short-side reject, 3of3_fail, possible_reversal_confirmation",165,reject_event_context+interesting_rejects,auto_priority
2026-03-26 04:45:00,2026-03-26,CANDIDATE_COMPARISON_REJECT,short,3of3_fail,"short-side reject, 3of3_fail, possible_reversal_confirmation",165,reject_event_context+interesting_rejects,auto_priority
2026-03-29 12:12:00,2026-03-29,CANDIDATE_COMPARISON_REJECT,short,3of3_fail,"short-side reject, 3of3_fail, possible_reversal_confirmation",165,reject_event_context+interesting_rejects,auto_priority
2026-03-18 12:30:00,2026-03-18,CANDIDATE_COMPARISON_REJECT,short,3of3_fail,"short-side reject, 3of3_fail, possible_continuation_pressure",162,reject_event_context+interesting_rejects,auto_priority
2026-03-22 18:45:00,2026-03-22,CANDIDATE_COMPARISON_REJECT,short,3of3_fail,"short-side reject, 3of3_fail, possible_continuation_pressure",162,reject_event_context+interesting_rejects,auto_priority
2026-03-23 03:36:00,2026-03-23,CANDIDATE_COMPARISON_REJECT,short,3of3_fail,"short-side reject, 3of3_fail, possible_continuation_pressure",162,reject_event_context+interesting_rejects,auto_priority
2026-03-24 14:09:00,2026-03-24,CANDIDATE_COMPARISON_REJECT,short,3of3_fail,"short-side reject, 3of3_fail, possible_continuation_pressure",162,reject_event_context+interesting_rejects,auto_priority
