target_ts,Timestamp,minutes_from_target,Close,VWAP,BuyQty,SellQty,OpenInterest,FundingRate,LiqBuyQty,LiqSellQty,IsSynthetic,delta_1m,vol_1m,price_minus_vwap
2026-04-05 00:20:00,2026-04-05 00:00:00,-20,,,1.515450,4.890100,,,,,,-3.374650,,
2026-04-05 00:20:00,2026-04-05 00:01:00,-19,,,0.851580,3.204370,,,,,,-2.352790,,
2026-04-05 00:20:00,2026-04-05 00:02:00,-18,,,0.510610,0.690080,,,,,,-0.179470,,
2026-04-05 00:20:00,2026-04-05 00:03:00,-17,,,1.786930,1.987890,,,,,,-0.200960,,
2026-04-05 00:20:00,2026-04-05 00:04:00,-16,,,3.595490,1.182390,,,,,,2.413100,,
2026-04-05 00:20:00,2026-04-05 00:05:00,-15,,,2.648300,3.120450,,,,,,-0.472150,,
2026-04-05 00:20:00,2026-04-05 00:06:00,-14,,,0.472890,1.231660,,,,,,-0.758770,,
2026-04-05 00:20:00,2026-04-05 00:07:00,-13,,,1.227210,1.392740,,,,,,-0.165530,,
2026-04-05 00:20:00,2026-04-05 00:08:00,-12,,,0.511060,0.194510,,,,,,0.316550,,
2026-04-05 00:20:00,2026-04-05 00:09:00,-11,,,0.293360,0.193580,,,,,,0.099780,,
2026-04-05 00:20:00,2026-04-05 00:10:00,-10,,,0.427490,0.118360,,,,,,0.309130,,
2026-04-05 00:20:00,2026-04-05 00:11:00,-9,,,1.961790,5.659060,,,,,,-3.697270,,
2026-04-05 00:20:00,2026-04-05 00:12:00,-8,,,0.860970,0.217160,,,,,,0.643810,,
2026-04-05 00:20:00,2026-04-05 00:13:00,-7,,,3.048840,0.348320,,,,,,2.700520,,
2026-04-05 00:20:00,2026-04-05 00:14:00,-6,,,0.196920,0.348830,,,,,,-0.151910,,
2026-04-05 00:20:00,2026-04-05 00:15:00,-5,,,4.467090,0.420660,,,,,,4.046430,,
2026-04-05 00:20:00,2026-04-05 00:16:00,-4,,,1.196460,0.145180,,,,,,1.051280,,
2026-04-05 00:20:00,2026-04-05 00:17:00,-3,,,1.820480,0.137370,,,,,,1.683110,,
2026-04-05 00:20:00,2026-04-05 00:18:00,-2,,,6.227020,1.880620,,,,,,4.346400,,
2026-04-05 00:20:00,2026-04-05 00:19:00,-1,,,0.826680,0.719670,,,,,,0.107010,,
2026-04-05 00:20:00,2026-04-05 00:20:00,0,,,27.907070,1.136860,,,,,,26.770210,,
2026-04-05 00:20:00,2026-04-05 00:21:00,1,,,4.867370,1.784110,,,,,,3.083260,,
2026-04-05 00:20:00,2026-04-05 00:22:00,2,,,0.418160,1.232590,,,,,,-0.814430,,
2026-04-05 00:20:00,2026-04-05 00:23:00,3,,,1.450180,0.813850,,,,,,0.636330,,
2026-04-05 00:20:00,2026-04-05 00:24:00,4,,,2.378510,0.509510,,,,,,1.869000,,
2026-04-05 00:20:00,2026-04-05 00:25:00,5,,,28.437030,2.875080,,,,,,25.561950,,
2026-04-05 00:20:00,2026-04-05 00:26:00,6,,,4.626140,3.942510,,,,,,0.683630,,
2026-04-05 00:20:00,2026-04-05 00:27:00,7,,,1.307010,0.660630,,,,,,0.646380,,
2026-04-05 00:20:00,2026-04-05 00:28:00,8,,,6.219170,0.768700,,,,,,5.450470,,
2026-04-05 00:20:00,2026-04-05 00:29:00,9,,,0.336410,0.137550,,,,,,0.198860,,
2026-04-05 00:20:00,2026-04-05 00:30:00,10,,,0.304770,2.321650,,,,,,-2.016880,,
2026-04-05 00:20:00,2026-04-05 00:31:00,11,,,1.049720,0.280130,,,,,,0.769590,,
2026-04-05 00:20:00,2026-04-05 00:32:00,12,,,0.282440,0.470640,,,,,,-0.188200,,
2026-04-05 00:20:00,2026-04-05 00:33:00,13,,,2.069100,2.070660,,,,,,-0.001560,,
2026-04-05 00:20:00,2026-04-05 00:34:00,14,,,1.009390,0.139440,,,,,,0.869950,,
2026-04-05 00:20:00,2026-04-05 00:35:00,15,,,1.052960,1.529670,,,,,,-0.476710,,
2026-04-05 00:20:00,2026-04-05 00:36:00,16,,,0.609720,0.570240,,,,,,0.039480,,
2026-04-05 00:20:00,2026-04-05 00:37:00,17,,,0.442330,0.553540,,,,,,-0.111210,,
2026-04-05 00:20:00,2026-04-05 00:38:00,18,,,0.200070,0.335560,,,,,,-0.135490,,
2026-04-05 00:20:00,2026-04-05 00:39:00,19,,,0.221300,1.635200,,,,,,-1.413900,,
2026-04-05 00:20:00,2026-04-05 00:40:00,20,,,0.196210,5.249700,,,,,,-5.053490,,
2026-04-05 00:20:00,2026-04-05 00:41:00,21,,,4.100800,0.570830,,,,,,3.529970,,
2026-04-05 00:20:00,2026-04-05 00:42:00,22,,,0.180190,0.646420,,,,,,-0.466230,,
2026-04-05 00:20:00,2026-04-05 00:43:00,23,,,0.773210,0.384840,,,,,,0.388370,,
2026-04-05 00:20:00,2026-04-05 00:44:00,24,,,0.217270,0.438750,,,,,,-0.221480,,
2026-04-05 00:20:00,2026-04-05 00:45:00,25,,,58.183350,1.322700,,,,,,56.860650,,
2026-04-05 00:20:00,2026-04-05 00:46:00,26,,,1.113240,50.808430,,,,,,-49.695190,,
2026-04-05 00:20:00,2026-04-05 00:47:00,27,,,0.419090,0.534690,,,,,,-0.115600,,
2026-04-05 00:20:00,2026-04-05 00:48:00,28,,,1.544610,1.331160,,,,,,0.213450,,
2026-04-05 00:20:00,2026-04-05 00:49:00,29,,,0.213110,0.196610,,,,,,0.016500,,
2026-04-05 00:20:00,2026-04-05 00:50:00,30,,,1.206220,3.437370,,,,,,-2.231150,,
2026-04-05 00:45:00,2026-04-05 00:15:00,-30,,,4.467090,0.420660,,,,,,4.046430,,
2026-04-05 00:45:00,2026-04-05 00:16:00,-29,,,1.196460,0.145180,,,,,,1.051280,,
2026-04-05 00:45:00,2026-04-05 00:17:00,-28,,,1.820480,0.137370,,,,,,1.683110,,
2026-04-05 00:45:00,2026-04-05 00:18:00,-27,,,6.227020,1.880620,,,,,,4.346400,,
2026-04-05 00:45:00,2026-04-05 00:19:00,-26,,,0.826680,0.719670,,,,,,0.107010,,
2026-04-05 00:45:00,2026-04-05 00:20:00,-25,,,27.907070,1.136860,,,,,,26.770210,,
2026-04-05 00:45:00,2026-04-05 00:21:00,-24,,,4.867370,1.784110,,,,,,3.083260,,
