source_date,event,event_ts,kind,reject_reason,reject_class,seq,ts,schema,delta,vol,imb,price,vwap,poc,prev_price,prev_vol,prev_vwap
2026-03-17,CANDIDATE_COMPARISON_REJECT,2026-03-17 00:05:00+00:00,short,vwap_side,single_condition,8,2026-03-17 00:05:00,1,-45.28,82.34,0.55,74455.283177,73646,,,,
2026-03-17,CANDIDATE_COMPARISON_REJECT,2026-03-17 01:10:00+00:00,long,direction_mismatch,single_condition,10,2026-03-17 01:10:00,1,168.84,329.87,0.512,75001.902706,73763,,,,
2026-03-17,CANDIDATE_COMPARISON_REJECT,2026-03-17 01:45:00+00:00,short,direction_mismatch,single_condition,12,2026-03-17 01:45:00,1,-61.65,69.75,0.884,75015.358532,73856,,,,
2026-03-17,CANDIDATE_COMPARISON_REJECT,2026-03-17 04:23:00+00:00,short,vwap_side,single_condition,14,2026-03-17 04:23:00,1,-69.17,103.94,0.666,74815.105123,74106,,,,
2026-03-17,CANDIDATE_COMPARISON_REJECT,2026-03-17 05:05:00+00:00,short,vwap_side,single_condition,16,2026-03-17 05:05:00,1,-76.61,102.13,0.75,74491.608737,74139,,,,
2026-03-17,CANDIDATE_COMPARISON_REJECT,2026-03-17 05:33:00+00:00,short,vwap_side,single_condition,18,2026-03-17 05:33:00,1,-104.34,132.78,0.786,74232.08397,74170,,,,
2026-03-17,CANDIDATE_COMPARISON_REJECT,2026-03-17 05:45:00+00:00,short,3of3_fail,multi_condition,20,2026-03-17 05:45:00,1,-119.33,149.48,0.798,74098.393117,74186,,74232.08397,132.78445,74170.0
2026-03-17,CANDIDATE_COMPARISON_REJECT,2026-03-17 06:05:00+00:00,long,direction_mismatch,single_condition,22,2026-03-17 06:05:00,1,91.29,121.21,0.753,74215.847425,74197,,,,
2026-03-17,CANDIDATE_COMPARISON_REJECT,2026-03-17 11:55:00+00:00,short,direction_mismatch,single_condition,24,2026-03-17 11:55:00,1,-96.76,130.9,0.739,73692.440201,74305,,,,
2026-03-17,CANDIDATE_COMPARISON_REJECT,2026-03-17 14:33:00+00:00,long,direction_mismatch,single_condition,26,2026-03-17 14:33:00,1,55.33,95.49,0.579,73993.012744,74342,,,,
2026-03-17,CANDIDATE_COMPARISON_REJECT,2026-03-17 15:42:00+00:00,long,vwap_side,single_condition,28,2026-03-17 15:42:00,1,55.41,78.09,0.71,74239.840894,74322,,,,
2026-03-17,CANDIDATE_COMPARISON_REJECT,2026-03-17 15:46:00+00:00,long,vwap_side,single_condition,30,2026-03-17 15:46:00,1,64.9,77.26,0.84,74305.911711,74323,,,,
2026-03-17,CANDIDATE_COMPARISON_REJECT,2026-03-17 18:15:00+00:00,long,vwap_side,single_condition,32,2026-03-17 18:15:00,1,65.28,72.82,0.896,74203.675302,74401,,,,
2026-03-17,CANDIDATE_COMPARISON_REJECT,2026-03-17 20:20:00+00:00,short,direction_mismatch,single_condition,34,2026-03-17 20:20:00,1,-17.91,29.27,0.612,74770.524281,74456,,,,
2026-03-17,CANDIDATE_COMPARISON_REJECT,2026-03-17 21:15:00+00:00,short,3of3_fail,multi_condition,36,2026-03-17 21:15:00,1,-54.11,73.2,0.739,74405.203778,74472,,74770.524281,29.26864,74456.0
2026-03-17,CANDIDATE_COMPARISON_REJECT,2026-03-17 21:45:00+00:00,long,direction_mismatch,single_condition,38,2026-03-17 21:45:00,1,18.67,32.91,0.567,74536.338565,74477,,,,
