source_date,event,event_ts,kind,reject_reason,reject_class,seq,ts,schema,delta,vol,imb,price,vwap,poc,price_now,ema50_now,chop30,coh10,imb_min,imb_max,chop30_max,coh10_min,prev_price,prev_vol,prev_vwap,vwap_now
2026-03-20,CANDIDATE_COMPARISON_REJECT,2026-03-20 00:45:00+00:00,long,direction_mismatch,single_condition,76,2026-03-20 00:45:00,1,18.75,26.96,0.696,69832.326701,70090.0,,,,,,,,,,,,,
2026-03-20,CANDIDATE_COMPARISON_REJECT,2026-03-20 01:11:00+00:00,long,vwap_side,single_condition,78,2026-03-20 01:11:00,1,93.04,113.51,0.82,70059.747653,70073.0,,,,,,,,,,,,,
2026-03-20,CANDIDATE_COMPARISON_REJECT,2026-03-20 01:36:00+00:00,long,3of3_fail,multi_condition,80,2026-03-20 01:36:00,1,189.62,191.03,0.993,70126.443466,70060.0,,,,,,,,,,70059.747653,113.50847999999999,70073.0,
2026-03-20,CANDIDATE_COMPARISON_REJECT,2026-03-20 02:00:00+00:00,short,direction_mismatch,single_condition,82,2026-03-20 02:00:00,1,-40.11,53.03,0.756,70202.663967,70048.0,,,,,,,,,,,,,
2026-03-20,CANDIDATE_COMPARISON_REJECT,2026-03-20 04:51:00+00:00,long,direction_mismatch,single_condition,84,2026-03-20 04:51:00,1,81.13,90.95,0.892,70690.745763,69994.0,,,,,,,,,,,,,
2026-03-20,CANDIDATE_COMPARISON_REJECT,2026-03-20 07:05:00+00:00,short,direction_mismatch,single_condition,86,2026-03-20 07:05:00,1,-72.7,90.36,0.805,70605.999588,69965.0,,,,,,,,,,,,,
2026-03-20,CANDIDATE_COMPARISON_REJECT,2026-03-20 08:36:00+00:00,long,direction_mismatch,single_condition,88,2026-03-20 08:36:00,1,102.56,132.62,0.773,70652.483144,69966.0,,,,,,,,,,,,,
2026-03-20,CANDIDATE_COMPARISON_REJECT,2026-03-20 12:07:00+00:00,long,3of3_fail,multi_condition,90,2026-03-20 12:07:00,1,29.23,33.12,0.883,70739.696741,70037.0,,,,,,,,,,70652.483144,132.61564,69966.0,
2026-03-20,CANDIDATE_GATE_REJECT,2026-03-20 12:12:00+00:00,long,imb_band,single_condition,92,2026-03-20 12:12:00,1,,,0.765,,,,70797.0,70589.09233645284,2.38,0.644,0.54,0.69,,,,,,70039.0
2026-03-20,CANDIDATE_COMPARISON_REJECT,2026-03-20 13:32:00+00:00,short,direction_mismatch,single_condition,94,2026-03-20 13:32:00,1,-99.33,147.67,0.673,70403.518248,70055.0,,,,,,,,,,,,,
2026-03-20,CANDIDATE_COMPARISON_REJECT,2026-03-20 16:17:00+00:00,long,direction_mismatch,single_condition,96,2026-03-20 16:17:00,1,94.87,109.62,0.865,69803.683059,70127.0,,,,,,,,,,,,,
2026-03-20,CANDIDATE_COMPARISON_REJECT,2026-03-20 22:19:00+00:00,long,no_prev_peak,single_condition,2,2026-03-20 22:19:00,1,66.07,112.12,0.589,70413.368162,70264.0,,,,,,,,,,,,,
2026-03-20,CANDIDATE_COMPARISON_REJECT,2026-03-20 22:39:00+00:00,short,direction_mismatch,single_condition,4,2026-03-20 22:39:00,1,-21.24,29.65,0.716,70584.30313,70268.0,,,,,,,,,,,,,
