source_date,event,event_ts,kind,reject_reason,reject_class,seq,ts,schema,delta,vol,imb,price,vwap,poc,price_now,ema50_now,vwap_now,chop30,coh10,chop30_max,coh10_min,imb_min,imb_max,prev_price,prev_vol,prev_vwap
2026-03-21,CANDIDATE_COMPARISON_REJECT,2026-03-21 01:21:00+00:00,long,direction_mismatch,single_condition,6,2026-03-21 01:21:00,1,27.62,41.25,0.67,70768.809045,70288.0,,,,,,,,,,,,,
2026-03-21,CANDIDATE_COMPARISON_REJECT,2026-03-21 02:49:00+00:00,short,direction_mismatch,single_condition,8,2026-03-21 02:49:00,1,-20.61,21.96,0.939,70531.338697,70314.0,,,,,,,,,,,,,
2026-03-21,CANDIDATE_COMPARISON_REJECT,2026-03-21 03:00:00+00:00,short,vwap_side,single_condition,10,2026-03-21 03:00:00,1,-59.46,61.02,0.974,70473.164607,70316.0,,,,,,,,,,,,,
2026-03-21,CANDIDATE_COMPARISON_REJECT,2026-03-21 05:10:00+00:00,long,direction_mismatch,single_condition,12,2026-03-21 05:10:00,1,49.99,52.23,0.957,70738.734168,70325.0,,,,,,,,,,,,,
2026-03-21,CANDIDATE_GATE_REJECT,2026-03-21 06:45:00+00:00,long,chop_coh,multi_condition,14,2026-03-21 06:45:00,1,,,0.938,,,,70780.0,70726.94553842772,70329.0,6.04,0.335,3.0,0.3,,,,,
2026-03-21,CANDIDATE_COMPARISON_REJECT,2026-03-21 09:10:00+00:00,short,direction_mismatch,single_condition,16,2026-03-21 09:10:00,1,-60.36,61.97,0.974,70700.807884,70348.0,,,,,,,,,,,,,
2026-03-21,CANDIDATE_COMPARISON_REJECT,2026-03-21 09:15:00+00:00,short,vwap_side,single_condition,18,2026-03-21 09:15:00,1,-95.27,110.86,0.859,70692.500855,70350.0,,,,,,,,,,,,,
2026-03-21,CANDIDATE_COMPARISON_REJECT,2026-03-21 09:25:00+00:00,long,direction_mismatch,single_condition,20,2026-03-21 09:25:00,1,189.36,211.96,0.893,70592.814073,70354.0,,,,,,,,,,,,,
2026-03-21,CANDIDATE_COMPARISON_REJECT,2026-03-21 09:40:00+00:00,short,direction_mismatch,single_condition,22,2026-03-21 09:40:00,1,-150.81,161.9,0.932,70605.222625,70351.0,,,,,,,,,,,,,
2026-03-21,CANDIDATE_COMPARISON_REJECT,2026-03-21 11:30:00+00:00,short,vwap_side,single_condition,24,2026-03-21 11:30:00,1,-169.51,190.01,0.892,70574.138293,70293.0,,,,,,,,,,,,,
2026-03-21,CANDIDATE_COMPARISON_REJECT,2026-03-21 15:12:00+00:00,long,direction_mismatch,single_condition,26,2026-03-21 15:12:00,1,44.36,54.44,0.815,70868.273588,70288.0,,,,,,,,,,,,,
2026-03-21,CANDIDATE_GATE_REJECT,2026-03-21 15:13:00+00:00,long,imb_band,single_condition,28,2026-03-21 15:13:00,1,,,0.409,,,,71062.0,70778.27896484207,70294.0,1.38,0.502,,,0.54,0.69,,,
2026-03-21,CANDIDATE_COMPARISON_REJECT,2026-03-21 15:20:00+00:00,long,3of3_fail,multi_condition,30,2026-03-21 15:20:00,1,107.43,123.14,0.872,70987.872411,70303.0,,,,,,,,,,,71021.072748,113.87796,70294.0
2026-03-21,CANDIDATE_COMPARISON_REJECT,2026-03-21 15:52:00+00:00,short,direction_mismatch,single_condition,32,2026-03-21 15:52:00,1,-98.84,111.77,0.884,70755.448675,70322.0,,,,,,,,,,,,,
2026-03-21,CANDIDATE_COMPARISON_REJECT,2026-03-21 18:40:00+00:00,long,direction_mismatch,single_condition,34,2026-03-21 18:40:00,1,128.29,143.71,0.893,70404.946442,70478.0,,,,,,,,,,,,,
2026-03-21,CANDIDATE_COMPARISON_REJECT,2026-03-21 21:15:00+00:00,short,direction_mismatch,single_condition,36,2026-03-21 21:15:00,1,-106.37,117.12,0.908,70394.008588,70596.0,,,,,,,,,,,,,
2026-03-21,CANDIDATE_COMPARISON_REJECT,2026-03-21 21:40:00+00:00,long,direction_mismatch,single_condition,38,2026-03-21 21:40:00,1,30.97,32.42,0.955,70474.305317,70607.0,,,,,,,,,,,,,
2026-03-21,CANDIDATE_COMPARISON_REJECT,2026-03-21 21:45:00+00:00,long,vwap_side,single_condition,40,2026-03-21 21:45:00,1,192.35,241.82,0.795,70469.627494,70607.0,,,,,,,,,,,,,
2026-03-21,CANDIDATE_COMPARISON_REJECT,2026-03-21 22:35:00+00:00,short,direction_mismatch,single_condition,42,2026-03-21 22:35:00,1,-180.49,200.16,0.902,70360.090636,70616.0,,,,,,,,,,,,,
2026-03-21,CANDIDATE_COMPARISON_REJECT,2026-03-21 23:50:00+00:00,long,direction_mismatch,single_condition,44,2026-03-21 23:50:00,1,195.43,260.33,0.751,70307.93246,70621.0,,,,,,,,,,,,,
