source_date,event,event_ts,kind,reject_reason,reject_class,seq,ts,schema,delta,vol,imb,price,vwap,poc,prev_price,prev_vol,prev_vwap,price_now,ema50_now,vwap_now,chop30,coh10
2026-03-28,CANDIDATE_COMPARISON_REJECT,2026-03-28 02:12:00+00:00,short,direction_mismatch,single_condition,260,2026-03-28 02:12:00,1,-32.2,44.52,0.723,66225.779332,67007.0,,,,,,,,,
2026-03-28,CANDIDATE_COMPARISON_REJECT,2026-03-28 02:35:00+00:00,short,3of3_fail,multi_condition,262,2026-03-28 02:35:00,1,-90.77,91.75,0.989,66234.189426,66982.0,,66225.779332,44.518719999999995,67007.0,,,,,
2026-03-28,CANDIDATE_COMPARISON_REJECT,2026-03-28 03:00:00+00:00,long,direction_mismatch,single_condition,264,2026-03-28 03:00:00,1,109.81,118.41,0.927,66160.17812,66964.0,,,,,,,,,
2026-03-28,CANDIDATE_COMPARISON_REJECT,2026-03-28 04:40:00+00:00,short,direction_mismatch,single_condition,266,2026-03-28 04:40:00,1,-153.73,170.54,0.901,66188.914577,66868.0,,,,,,,,,
2026-03-28,CANDIDATE_COMPARISON_REJECT,2026-03-28 04:50:00+00:00,long,direction_mismatch,single_condition,268,2026-03-28 04:50:00,1,126.55,138.18,0.916,66225.393819,66841.0,,,,,,,,,
2026-03-28,CANDIDATE_COMPARISON_REJECT,2026-03-28 08:45:00+00:00,long,vwap_side,single_condition,270,2026-03-28 08:45:00,1,68.27,130.42,0.523,66435.630071,66612.0,,,,,,,,,
2026-03-28,CANDIDATE_COMPARISON_REJECT,2026-03-28 09:15:00+00:00,long,vwap_side,single_condition,272,2026-03-28 09:15:00,1,86.97,105.44,0.825,66485.89252,66588.0,,,,,,,,,
2026-03-28,CANDIDATE_COMPARISON_REJECT,2026-03-28 10:30:00+00:00,short,direction_mismatch,single_condition,274,2026-03-28 10:30:00,1,-107.86,147.45,0.732,66371.262413,66433.0,,,,,,,,,
2026-03-28,CANDIDATE_COMPARISON_REJECT,2026-03-28 13:18:00+00:00,long,direction_mismatch,single_condition,276,2026-03-28 13:18:00,1,28.09,42.43,0.662,66480.333807,66223.0,,,,,,,,,
2026-03-28,CANDIDATE_COMPARISON_REJECT,2026-03-28 14:41:00+00:00,long,3of3_fail,multi_condition,278,2026-03-28 14:41:00,1,98.82,327.67,0.302,67007.234117,66208.0,,66480.333807,42.42788,66223.0,,,,,
2026-03-28,CANDIDATE_COMPARISON_REJECT,2026-03-28 16:26:00+00:00,short,direction_mismatch,single_condition,280,2026-03-28 16:26:00,1,-21.18,31.23,0.678,67187.741155,66228.0,,,,,,,,,
2026-03-28,CANDIDATE_COMPARISON_REJECT,2026-03-28 19:35:00+00:00,short,vwap_side,single_condition,282,2026-03-28 19:35:00,1,-19.02,21.14,0.9,66890.233205,66337.0,,,,,,,,,
2026-03-28,CANDIDATE_COMPARISON_REJECT,2026-03-28 22:00:00+00:00,short,vwap_side,single_condition,284,2026-03-28 22:00:00,1,-74.47,100.32,0.742,66912.153941,66449.0,,,,,,,,,
2026-03-28,CANDIDATE_COMPARISON_REJECT,2026-03-28 22:20:00+00:00,long,direction_mismatch,single_condition,286,2026-03-28 22:20:00,1,33.99,36.14,0.94,66839.62085,66460.0,,,,,,,,,
2026-03-28,CANDIDATE_GATE_REJECT,2026-03-28 22:25:00+00:00,long,ema50_vwap_regime,multi_condition,288,2026-03-28 22:25:00,1,,,0.855,,,,,,,66855.0,66881.1650715192,66464.0,2.66,0.65
