source_date,event,event_ts,kind,reject_reason,reject_class,seq,ts,schema,delta,vol,imb,price,vwap,poc,price_now,ema50_now,vwap_now,chop30,coh10,imb_min,imb_max,prev_price,prev_vol,prev_vwap,chop30_max,coh10_min
2026-03-29,CANDIDATE_COMPARISON_REJECT,2026-03-29 01:22:00+00:00,short,direction_mismatch,single_condition,290,2026-03-29 01:22:00,1,-24.87,29.42,0.845,66398.525219,66528.0,,,,,,,,,,,,,
2026-03-29,CANDIDATE_COMPARISON_REJECT,2026-03-29 03:05:00+00:00,long,direction_mismatch,single_condition,292,2026-03-29 03:05:00,1,12.31,14.84,0.83,66512.08852,66535.0,,,,,,,,,,,,,
2026-03-29,CANDIDATE_COMPARISON_REJECT,2026-03-29 03:13:00+00:00,long,vwap_side,single_condition,294,2026-03-29 03:13:00,1,12.51,23.03,0.543,66528.734549,66536.0,,,,,,,,,,,,,
2026-03-29,CANDIDATE_GATE_REJECT,2026-03-29 05:00:00+00:00,long,imb_band,single_condition,296,2026-03-29 05:00:00,1,,,0.899,,,,66818.0,66690.34260173241,66562.0,2.26,0.515,0.54,0.69,,,,,
2026-03-29,CANDIDATE_COMPARISON_REJECT,2026-03-29 05:01:00+00:00,short,direction_mismatch,single_condition,298,2026-03-29 05:01:00,1,-36.81,40.24,0.915,66799.049232,66563.0,,,,,,,,,,,,,
2026-03-29,CANDIDATE_COMPARISON_REJECT,2026-03-29 05:06:00+00:00,short,vwap_side,single_condition,300,2026-03-29 05:06:00,1,-77.76,82.42,0.943,66796.084089,66569.0,,,,,,,,,,,,,
2026-03-29,CANDIDATE_COMPARISON_REJECT,2026-03-29 05:10:00+00:00,long,direction_mismatch,single_condition,302,2026-03-29 05:10:00,1,61.24,63.15,0.97,66804.353601,66570.0,,,,,,,,,,,,,
2026-03-29,CANDIDATE_COMPARISON_REJECT,2026-03-29 07:50:00+00:00,long,3of3_fail,multi_condition,304,2026-03-29 07:50:00,1,72.1,82.14,0.878,66666.296799,66644.0,,,,,,,,,66804.353601,63.1515,66570.0,,
2026-03-29,CANDIDATE_COMPARISON_REJECT,2026-03-29 08:15:00+00:00,short,direction_mismatch,single_condition,306,2026-03-29 08:15:00,1,-25.43,35.43,0.718,66836.782695,66656.0,,,,,,,,,,,,,
2026-03-29,CANDIDATE_COMPARISON_REJECT,2026-03-29 08:20:00+00:00,short,vwap_side,single_condition,308,2026-03-29 08:20:00,1,-52.38,54.13,0.968,66826.426709,66659.0,,,,,,,,,,,,,
2026-03-29,CANDIDATE_COMPARISON_REJECT,2026-03-29 08:50:00+00:00,short,vwap_side,single_condition,310,2026-03-29 08:50:00,1,-57.85,62.3,0.929,66695.907621,66670.0,,,,,,,,,,,,,
2026-03-29,CANDIDATE_COMPARISON_REJECT,2026-03-29 12:12:00+00:00,short,3of3_fail,multi_condition,312,2026-03-29 12:12:00,1,-16.85,20.72,0.813,66512.471784,66719.0,,,,,,,,,66695.907621,62.29586,66670.0,,
2026-03-29,CANDIDATE_COMPARISON_REJECT,2026-03-29 12:30:00+00:00,short,3of3_fail,multi_condition,314,2026-03-29 12:30:00,1,-24.17,26.58,0.909,66480.235253,66726.0,,,,,,,,,66512.471784,20.71909,66719.0,,
2026-03-29,CANDIDATE_COMPARISON_REJECT,2026-03-29 13:47:00+00:00,long,direction_mismatch,single_condition,316,2026-03-29 13:47:00,1,13.0,31.2,0.417,66957.630528,66753.0,,,,,,,,,,,,,
2026-03-29,CANDIDATE_COMPARISON_REJECT,2026-03-29 16:01:00+00:00,short,direction_mismatch,single_condition,318,2026-03-29 16:01:00,1,-35.34,70.6,0.501,66552.592591,66775.0,,,,,,,,,,,,,
2026-03-29,CANDIDATE_COMPARISON_REJECT,2026-03-29 16:55:00+00:00,long,direction_mismatch,single_condition,320,2026-03-29 16:55:00,1,10.91,13.91,0.784,66547.450836,66760.0,,,,,,,,,,,,,
2026-03-29,CANDIDATE_COMPARISON_REJECT,2026-03-29 17:37:00+00:00,long,vwap_side,single_condition,322,2026-03-29 17:37:00,1,52.29,57.89,0.903,66401.925243,66748.0,,,,,,,,,,,,,
2026-03-29,CANDIDATE_COMPARISON_REJECT,2026-03-29 19:22:00+00:00,short,direction_mismatch,single_condition,324,2026-03-29 19:22:00,1,-21.97,29.45,0.746,66317.647892,66689.0,,,,,,,,,,,,,
2026-03-29,CANDIDATE_COMPARISON_REJECT,2026-03-29 21:20:00+00:00,long,direction_mismatch,single_condition,328,2026-03-29 21:20:00,1,10.85,12.33,0.88,66450.359333,66657.0,,,,,,,,,,,,,
2026-03-29,CANDIDATE_COMPARISON_REJECT,2026-03-29 21:30:00+00:00,long,vwap_side,single_condition,330,2026-03-29 21:30:00,1,20.29,35.79,0.567,66415.710309,66653.0,,,,,,,,,,,,,
2026-03-29,CANDIDATE_COMPARISON_REJECT,2026-03-29 21:42:00+00:00,short,direction_mismatch,single_condition,332,2026-03-29 21:42:00,1,-36.92,38.9,0.949,66375.554966,66648.0,,,,,,,,,,,,,
2026-03-29,CANDIDATE_COMPARISON_REJECT,2026-03-29 22:21:00+00:00,long,direction_mismatch,single_condition,334,2026-03-29 22:21:00,1,26.14,36.94,0.708,66629.413956,66640.0,,,,,,,,,,,,,
2026-03-29,CANDIDATE_COMPARISON_REJECT,2026-03-29 22:24:00+00:00,long,3of3_fail,multi_condition,336,2026-03-29 22:24:00,1,30.18,45.27,0.667,66705.443258,66640.0,,,,,,,,,66629.413956,36.93649,66640.0,,
