ts,day,event_type,kind,reject_reason,delta,vol,imb,price,vwap,poc,matched_feed_ts,matched_open_interest,matched_funding_rate,matched_liq_buy_qty,matched_liq_sell_qty,source_file,terminal_decision_present,cum_delta_24h,cum_delta_180m,cum_delta_60m,ret_15m,ret_60m,dist_vwap,abs_dist_vwap,price_vs_vwap_side
2026-03-31 01:09:00,2026-03-31,DELTA_MIN,short,,-23.5,29.06,0.809,66470.18393,67060.0,65240.0,2026-03-31 01:09:00,89855.65,-1.762e-05,0.0,0.0,2026-03-31.jsonl,True,4345.770999999997,1306.7429999999977,970.3460000000005,-53.09999999999127,373.40000000000873,-589.8160700000008,589.8160700000008,below
2026-03-31 01:09:00,2026-03-31,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-23.5,29.06,0.809,66470.18393,67060.0,,2026-03-31 01:09:00,89855.65,-1.762e-05,0.0,0.0,2026-03-31.jsonl,True,4345.770999999997,1306.7429999999977,970.3460000000005,-53.09999999999127,373.40000000000873,-589.8160700000008,589.8160700000008,below
2026-03-31 01:46:00,2026-03-31,DELTA_MIN,short,,-26.24,31.12,0.843,66753.855597,67145.0,66650.0,2026-03-31 01:46:00,89952.82,-2.316e-05,0.0,0.0,2026-03-31.jsonl,True,6202.3929999999955,3236.194999999996,2578.4969999999994,199.8000000000029,841.1999999999971,-391.1444029999984,391.1444029999984,below
2026-03-31 01:46:00,2026-03-31,CANDIDATE_COMPARISON_REJECT,short,3of3_fail,-26.24,31.12,0.843,66753.855597,67145.0,,2026-03-31 01:46:00,89952.82,-2.316e-05,0.0,0.0,2026-03-31.jsonl,True,6202.3929999999955,3236.194999999996,2578.4969999999994,199.8000000000029,841.1999999999971,-391.1444029999984,391.1444029999984,below
2026-03-31 02:05:00,2026-03-31,DELTA_MAX,long,,61.98,64.04,0.968,66777.849779,67223.0,66650.0,2026-03-31 02:05:00,90138.33,-2.717e-05,0.0,0.0,2026-03-31.jsonl,True,5982.884999999998,3167.972999999999,1770.6500000000005,-22.59999999999127,751.1000000000058,-445.1502210000035,445.1502210000035,below
2026-03-31 02:05:00,2026-03-31,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,61.98,64.04,0.968,66777.849779,67223.0,,2026-03-31 02:05:00,90138.33,-2.717e-05,0.0,0.0,2026-03-31.jsonl,True,5982.884999999998,3167.972999999999,1770.6500000000005,-22.59999999999127,751.1000000000058,-445.1502210000035,445.1502210000035,below
2026-03-31 03:34:00,2026-03-31,DELTA_MAX,long,,81.77,157.85,0.518,68045.079324,67310.0,67360.0,2026-03-31 03:34:00,90427.79,-3.796e-05,0.0,0.0,2026-03-31.jsonl,True,3394.9160000000006,2256.4710000000023,-520.9150000000009,-25.0,4.400000000008731,735.0793240000057,735.0793240000057,above
2026-03-31 03:34:00,2026-03-31,CANDIDATE_GATE_REJECT,long,imb_band,,,0.518,,,,2026-03-31 03:34:00,90427.79,-3.796e-05,0.0,0.0,2026-03-31.jsonl,True,3394.9160000000006,2256.4710000000023,-520.9150000000009,-25.0,4.400000000008731,,,at_or_unknown
2026-03-31 03:36:00,2026-03-31,DELTA_MIN,short,,-29.67,71.74,0.414,68239.315354,67323.0,67360.0,2026-03-31 03:36:00,90419.24,-3.77e-05,0.0,0.0,2026-03-31.jsonl,True,3400.0780000000004,2268.9590000000017,-443.7230000000018,28.20000000001164,-87.29999999998836,916.3153540000058,916.3153540000058,above
2026-03-31 03:36:00,2026-03-31,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-29.67,71.74,0.414,68239.315354,67323.0,,2026-03-31 03:36:00,90419.24,-3.77e-05,0.0,0.0,2026-03-31.jsonl,True,3400.0780000000004,2268.9590000000017,-443.7230000000018,28.20000000001164,-87.29999999998836,916.3153540000058,916.3153540000058,above
2026-03-31 05:40:00,2026-03-31,DELTA_MIN,short,,-56.09,87.07,0.644,67683.031461,67423.0,67850.0,2026-03-31 05:40:00,90096.75,-4.925e-05,0.0,0.004,2026-03-31.jsonl,True,1618.820999999999,-1309.259,-235.27499999999873,73.80000000000291,108.30000000000291,260.03146100000595,260.03146100000595,above
2026-03-31 05:40:00,2026-03-31,CANDIDATE_COMPARISON_REJECT,short,vwap_side,-56.09,87.07,0.644,67683.031461,67423.0,,2026-03-31 05:40:00,90096.75,-4.925e-05,0.0,0.004,2026-03-31.jsonl,True,1618.820999999999,-1309.259,-235.27499999999873,73.80000000000291,108.30000000000291,260.03146100000595,260.03146100000595,above
2026-03-31 06:10:00,2026-03-31,DELTA_MIN,short,,-79.89,123.58,0.646,67686.800418,67439.0,67850.0,2026-03-31 06:10:00,90169.37,-4.92e-05,0.0,0.0,2026-03-31.jsonl,True,1952.538999999998,-914.072000000001,180.60000000000127,-183.6999999999971,44.69999999999709,247.8004179999989,247.8004179999989,above
2026-03-31 06:10:00,2026-03-31,CANDIDATE_COMPARISON_REJECT,short,vwap_side,-79.89,123.58,0.646,67686.800418,67439.0,,2026-03-31 06:10:00,90169.37,-4.92e-05,0.0,0.0,2026-03-31.jsonl,True,1952.538999999998,-914.072000000001,180.60000000000127,-183.6999999999971,44.69999999999709,247.8004179999989,247.8004179999989,above
2026-03-31 06:21:00,2026-03-31,DELTA_MAX,long,,112.09,137.97,0.812,67882.100949,67447.0,67850.0,2026-03-31 06:21:00,90099.09,-4.869e-05,0.0,0.0,2026-03-31.jsonl,True,2248.536999999996,-1126.9730000000018,5.320999999999003,-191.40000000000873,-64.30000000000291,435.1009489999997,435.1009489999997,above
2026-03-31 06:21:00,2026-03-31,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,112.09,137.97,0.812,67882.100949,67447.0,,2026-03-31 06:21:00,90099.09,-4.869e-05,0.0,0.0,2026-03-31.jsonl,True,2248.536999999996,-1126.9730000000018,5.320999999999003,-191.40000000000873,-64.30000000000291,435.1009489999997,435.1009489999997,above
2026-03-31 06:28:00,2026-03-31,DELTA_MIN,short,,-108.23,157.26,0.688,67520.849583,67449.0,67850.0,2026-03-31 06:28:00,90118.82,-4.666e-05,0.0,0.735,2026-03-31.jsonl,True,2664.4109999999964,-996.1600000000017,-8.715000000000146,-99.60000000000582,-219.39999999999418,71.8495830000029,71.8495830000029,above
2026-03-31 06:28:00,2026-03-31,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-108.23,157.26,0.688,67520.849583,67449.0,,2026-03-31 06:28:00,90118.82,-4.666e-05,0.0,0.735,2026-03-31.jsonl,True,2664.4109999999964,-996.1600000000017,-8.715000000000146,-99.60000000000582,-219.39999999999418,71.8495830000029,71.8495830000029,above
2026-03-31 06:45:00,2026-03-31,DELTA_MIN,short,,-119.82,130.67,0.917,67601.632399,67453.0,67850.0,2026-03-31 06:45:00,90275.41,-4.085e-05,0.0,0.0,2026-03-31.jsonl,True,2924.213999999996,-546.4450000000015,148.07999999999902,-4.19999999999709,-264.3999999999942,148.63239899999462,148.63239899999462,above
2026-03-31 06:45:00,2026-03-31,CANDIDATE_COMPARISON_REJECT,short,vwap_side,-119.82,130.67,0.917,67601.632399,67453.0,,2026-03-31 06:45:00,90275.41,-4.085e-05,0.0,0.0,2026-03-31.jsonl,True,2924.213999999996,-546.4450000000015,148.07999999999902,-4.19999999999709,-264.3999999999942,148.63239899999462,148.63239899999462,above
2026-03-31 09:31:00,2026-03-31,DELTA_MAX,long,,73.07,99.93,0.731,67352.842875,67451.0,67850.0,2026-03-31 09:31:00,90953.83,1.005e-05,0.0,0.0,2026-03-31.jsonl,True,-123.25400000000991,-2294.7700000000013,-2779.7479999999987,-244.40000000000873,-810.0,-98.1571249999979,98.1571249999979,below
2026-03-31 09:31:00,2026-03-31,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,73.07,99.93,0.731,67352.842875,67451.0,,2026-03-31 09:31:00,90953.83,1.005e-05,0.0,0.0,2026-03-31.jsonl,True,-123.25400000000991,-2294.7700000000013,-2779.7479999999987,-244.40000000000873,-810.0,-98.1571249999979,98.1571249999979,below
2026-03-31 10:03:00,2026-03-31,DELTA_MIN,short,,-107.66,121.4,0.887,67250.070769,67447.0,67850.0,2026-03-31 10:03:00,90700.06,1.754e-05,0.0,0.0,2026-03-31.jsonl,True,-1045.5780000000095,-3499.4450000000006,-1994.2079999999978,-267.5,-623.1999999999971,-196.9292310000019,196.9292310000019,below
2026-03-31 10:03:00,2026-03-31,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-107.66,121.4,0.887,67250.070769,67447.0,,2026-03-31 10:03:00,90700.06,1.754e-05,0.0,0.0,2026-03-31.jsonl,True,-1045.5780000000095,-3499.4450000000006,-1994.2079999999978,-267.5,-623.1999999999971,-196.9292310000019,196.9292310000019,below
2026-03-31 13:19:00,2026-03-31,DELTA_MAX,long,,102.19,171.71,0.595,66874.105621,67259.0,67900.0,2026-03-31 13:19:00,91228.03,7.14e-06,0.0,0.0,2026-03-31.jsonl,True,-701.8930000000055,337.2869999999998,453.05999999999904,158.90000000000873,171.70000000001164,-384.89437900000485,384.89437900000485,below
2026-03-31 13:19:00,2026-03-31,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,102.19,171.71,0.595,66874.105621,67259.0,,2026-03-31 13:19:00,91228.03,7.14e-06,0.0,0.0,2026-03-31.jsonl,True,-701.8930000000055,337.2869999999998,453.05999999999904,158.90000000000873,171.70000000001164,-384.89437900000485,384.89437900000485,below
