source_date,event,event_ts,kind,reject_reason,reject_class,seq,ts,schema,delta,vol,imb,price,vwap,poc
2026-04-02,CANDIDATE_COMPARISON_REJECT,2026-04-02 01:11:00+00:00,short,direction_mismatch,single_condition,454,2026-04-02 01:11:00,1,-50.31,60.63,0.83,68194.303638,68430,
2026-04-02,CANDIDATE_COMPARISON_REJECT,2026-04-02 01:26:00+00:00,long,direction_mismatch,single_condition,456,2026-04-02 01:26:00,1,30.8,47.46,0.649,68115.581548,68430,
2026-04-02,CANDIDATE_COMPARISON_REJECT,2026-04-02 03:06:00+00:00,short,direction_mismatch,single_condition,458,2026-04-02 03:06:00,1,-71.19,241.08,0.295,67784.516041,68428,
2026-04-02,CANDIDATE_COMPARISON_REJECT,2026-04-02 04:08:00+00:00,long,direction_mismatch,single_condition,460,2026-04-02 04:08:00,1,101.66,124.9,0.814,67282.438105,68358,
2026-04-02,CANDIDATE_COMPARISON_REJECT,2026-04-02 06:06:00+00:00,long,vwap_side,single_condition,462,2026-04-02 06:06:00,1,104.97,139.28,0.754,66587.504645,68259,
2026-04-02,CANDIDATE_COMPARISON_REJECT,2026-04-02 07:35:00+00:00,short,direction_mismatch,single_condition,464,2026-04-02 07:35:00,1,-130.37,136.66,0.954,66485.814441,68172,
2026-04-02,CANDIDATE_COMPARISON_REJECT,2026-04-02 10:38:00+00:00,short,vwap_distance,single_condition,466,2026-04-02 10:38:00,1,-11.08,21.26,0.521,66576.045034,67923,
2026-04-02,CANDIDATE_COMPARISON_REJECT,2026-04-02 10:48:00+00:00,short,vwap_distance,single_condition,468,2026-04-02 10:48:00,1,-15.66,17.08,0.917,66535.073385,67899,
2026-04-02,CANDIDATE_COMPARISON_REJECT,2026-04-02 10:49:00+00:00,short,vwap_distance,single_condition,470,2026-04-02 10:49:00,1,-20.59,31.18,0.66,66523.639083,67896,
2026-04-02,CANDIDATE_COMPARISON_REJECT,2026-04-02 10:59:00+00:00,short,vwap_distance,single_condition,472,2026-04-02 10:59:00,1,-30.33,37.21,0.815,66457.44294,67878,
2026-04-02,CANDIDATE_COMPARISON_REJECT,2026-04-02 11:00:00+00:00,short,vwap_distance,single_condition,474,2026-04-02 11:00:00,1,-126.15,182.77,0.69,66378.359903,67860,
2026-04-02,CANDIDATE_COMPARISON_REJECT,2026-04-02 13:16:00+00:00,long,direction_mismatch,single_condition,476,2026-04-02 13:16:00,1,75.97,263.47,0.288,66290.265163,67683,
2026-04-02,CANDIDATE_COMPARISON_REJECT,2026-04-02 14:22:00+00:00,short,direction_mismatch,single_condition,478,2026-04-02 14:22:00,1,-119.97,174.47,0.688,66003.825953,67544,
2026-04-02,CANDIDATE_COMPARISON_REJECT,2026-04-02 15:52:00+00:00,long,direction_mismatch,single_condition,480,2026-04-02 15:52:00,1,113.95,142.49,0.8,66129.812737,67324,
2026-04-02,CANDIDATE_COMPARISON_REJECT,2026-04-02 17:32:00+00:00,short,direction_mismatch,single_condition,482,2026-04-02 17:32:00,1,-58.61,66.43,0.882,66763.816159,67161,
2026-04-02,CANDIDATE_COMPARISON_REJECT,2026-04-02 19:17:00+00:00,long,direction_mismatch,single_condition,484,2026-04-02 19:17:00,1,60.49,86.18,0.702,67327.815296,67042,
2026-04-02,CANDIDATE_COMPARISON_REJECT,2026-04-02 19:33:00+00:00,short,direction_mismatch,single_condition,486,2026-04-02 19:33:00,1,-91.48,164.88,0.555,67184.396587,67027,
2026-04-02,CANDIDATE_COMPARISON_REJECT,2026-04-02 19:34:00+00:00,short,vwap_side,single_condition,488,2026-04-02 19:34:00,1,-304.86,334.88,0.91,67101.605681,67024,
