source_date,event,event_ts,kind,reject_reason,reject_class,seq,ts,schema,delta,vol,imb,price,vwap,poc,price_now,ema50_now,vwap_now,chop30,coh10,chop30_max,coh10_min,prev_price,prev_vol,prev_vwap,imb_min,imb_max
2026-04-03,CANDIDATE_COMPARISON_REJECT,2026-04-03 01:00:00+00:00,short,vwap_side,single_condition,490,2026-04-03 01:00:00,1,-56.05,106.53,0.526,67006.850821,66828.0,,,,,,,,,,,,,
2026-04-03,CANDIDATE_COMPARISON_REJECT,2026-04-03 01:01:00+00:00,long,direction_mismatch,single_condition,492,2026-04-03 01:01:00,1,97.28,105.21,0.925,66982.618942,66828.0,,,,,,,,,,,,,
2026-04-03,CANDIDATE_COMPARISON_REJECT,2026-04-03 02:40:00+00:00,short,direction_mismatch,single_condition,494,2026-04-03 02:40:00,1,-59.08,68.03,0.868,66847.084431,66789.0,,,,,,,,,,,,,
2026-04-03,CANDIDATE_GATE_REJECT,2026-04-03 03:37:00+00:00,short,chop_coh,multi_condition,496,2026-04-03 03:37:00,1,,,0.865,,,,66660.0,66808.2990837645,66768.0,3.31,0.371,3.0,0.3,,,,,
2026-04-03,CANDIDATE_GATE_REJECT,2026-04-03 05:55:00+00:00,short,chop_coh,multi_condition,498,2026-04-03 05:55:00,1,,,0.931,,,,66587.0,66602.57249251974,66630.0,3.94,0.681,3.0,0.3,,,,,
2026-04-03,CANDIDATE_COMPARISON_REJECT,2026-04-03 06:33:00+00:00,long,direction_mismatch,single_condition,500,2026-04-03 06:33:00,1,45.51,47.81,0.952,66528.303048,66625.0,,,,,,,,,,,,,
2026-04-03,CANDIDATE_COMPARISON_REJECT,2026-04-03 06:36:00+00:00,long,vwap_side,single_condition,502,2026-04-03 06:36:00,1,87.19,102.47,0.851,66564.052293,66624.0,,,,,,,,,,,,,
2026-04-03,CANDIDATE_COMPARISON_REJECT,2026-04-03 09:36:00+00:00,long,3of3_fail,multi_condition,504,2026-04-03 09:36:00,1,38.83,75.32,0.516,67168.230139,66649.0,,,,,,,,,66564.052293,102.47462,66624.0,,
2026-04-03,CANDIDATE_COMPARISON_REJECT,2026-04-03 09:55:00+00:00,short,direction_mismatch,single_condition,506,2026-04-03 09:55:00,1,-107.95,117.33,0.92,67063.569863,66657.0,,,,,,,,,,,,,
2026-04-03,CANDIDATE_COMPARISON_REJECT,2026-04-03 10:58:00+00:00,long,direction_mismatch,single_condition,508,2026-04-03 10:58:00,1,57.88,60.79,0.952,66973.550564,66670.0,,,,,,,,,,,,,
2026-04-03,CANDIDATE_COMPARISON_REJECT,2026-04-03 14:24:00+00:00,long,3of3_fail,multi_condition,510,2026-04-03 14:24:00,1,27.25,35.37,0.77,66953.504209,66714.0,,,,,,,,,66973.550564,60.78508,66670.0,,
2026-04-03,CANDIDATE_COMPARISON_REJECT,2026-04-03 14:31:00+00:00,short,direction_mismatch,single_condition,512,2026-04-03 14:31:00,1,-21.19,289.34,0.073,67190.648106,66723.0,,,,,,,,,,,,,
2026-04-03,CANDIDATE_COMPARISON_REJECT,2026-04-03 14:51:00+00:00,short,3of3_fail,multi_condition,514,2026-04-03 14:51:00,1,-39.65,59.93,0.662,66710.460498,66727.0,,,,,,,,,67190.648106,289.33822,66723.0,,
2026-04-03,CANDIDATE_COMPARISON_REJECT,2026-04-03 14:53:00+00:00,long,direction_mismatch,single_condition,516,2026-04-03 14:53:00,1,29.91,33.9,0.882,66733.539926,66728.0,,,,,,,,,,,,,
2026-04-03,CANDIDATE_COMPARISON_REJECT,2026-04-03 14:54:00+00:00,long,3of3_fail,multi_condition,518,2026-04-03 14:54:00,1,54.02,64.36,0.839,66769.636134,66728.0,,,,,,,,,66733.539926,33.90108,66728.0,,
2026-04-03,CANDIDATE_COMPARISON_REJECT,2026-04-03 18:00:00+00:00,short,direction_mismatch,single_condition,522,2026-04-03 18:00:00,1,-77.82,92.13,0.845,66846.9839,66848.0,,,,,,,,,,,,,
2026-04-03,CANDIDATE_COMPARISON_REJECT,2026-04-03 18:35:00+00:00,long,direction_mismatch,single_condition,524,2026-04-03 18:35:00,1,102.8,118.66,0.866,66991.001487,66851.0,,,,,,,,,,,,,
2026-04-03,CANDIDATE_COMPARISON_REJECT,2026-04-03 21:25:00+00:00,short,direction_mismatch,single_condition,526,2026-04-03 21:25:00,1,-100.04,128.59,0.778,66794.297342,66816.0,,,,,,,,,,,,,
2026-04-03,CANDIDATE_COMPARISON_REJECT,2026-04-03 23:13:00+00:00,long,direction_mismatch,single_condition,528,2026-04-03 23:13:00,1,13.9,15.16,0.917,66852.302732,66812.0,,,,,,,,,,,,,
2026-04-03,CANDIDATE_GATE_REJECT,2026-04-03 23:21:00+00:00,long,chop_coh,multi_condition,530,2026-04-03 23:21:00,1,,,0.928,,,,66905.0,66875.51904520862,66813.0,3.08,0.087,3.0,0.3,,,,,
