source_date,event,event_ts,kind,reject_reason,reject_class,seq,ts,schema,delta,vol,imb,price,vwap,poc,prev_price,prev_vol,prev_vwap,price_now,ema50_now,chop30,coh10,imb_min,imb_max,chop30_max,coh10_min
2026-04-04,CANDIDATE_COMPARISON_REJECT,2026-04-04 01:20:00+00:00,long,3of3_fail,multi_condition,532,2026-04-04 01:20:00,1,45.75,54.13,0.845,66869.380534,66813,,66877.904767,41.875479999999996,66813.0,,,,,,,,
2026-04-04,CANDIDATE_COMPARISON_REJECT,2026-04-04 01:26:00+00:00,short,direction_mismatch,single_condition,534,2026-04-04 01:26:00,1,-51.58,52.23,0.988,66856.263951,66813,,,,,,,,,,,,
2026-04-04,CANDIDATE_COMPARISON_REJECT,2026-04-04 01:51:00+00:00,long,direction_mismatch,single_condition,536,2026-04-04 01:51:00,1,101.98,120.69,0.845,66936.800647,66814,,,,,,,,,,,,
2026-04-04,CANDIDATE_COMPARISON_REJECT,2026-04-04 06:55:00+00:00,long,3of3_fail,multi_condition,538,2026-04-04 06:55:00,1,38.58,40.55,0.952,66857.191333,66847,,66936.800647,120.69255,66814.0,,,,,,,,
2026-04-04,CANDIDATE_COMPARISON_REJECT,2026-04-04 07:00:00+00:00,short,direction_mismatch,single_condition,540,2026-04-04 07:00:00,1,-29.58,43.65,0.678,66860.32244,66849,,,,,,,,,,,,
2026-04-04,CANDIDATE_COMPARISON_REJECT,2026-04-04 07:15:00+00:00,short,vwap_side,single_condition,542,2026-04-04 07:15:00,1,-112.16,161.25,0.696,66886.782674,66851,,,,,,,,,,,,
2026-04-04,CANDIDATE_COMPARISON_REJECT,2026-04-04 07:30:00+00:00,long,direction_mismatch,single_condition,544,2026-04-04 07:30:00,1,47.4,114.21,0.415,66872.02231,66853,,,,,,,,,,,,
2026-04-04,CANDIDATE_COMPARISON_REJECT,2026-04-04 09:58:00+00:00,long,3of3_fail,multi_condition,546,2026-04-04 09:58:00,1,61.14,87.24,0.701,67022.858385,66909,,66872.02231,114.2122,66853.0,,,,,,,,
2026-04-04,CANDIDATE_COMPARISON_REJECT,2026-04-04 13:10:00+00:00,long,3of3_fail,multi_condition,548,2026-04-04 13:10:00,1,56.41,63.96,0.882,67174.094401,66903,,67022.858385,87.23510999999999,66909.0,,,,,,,,
2026-04-04,CANDIDATE_COMPARISON_REJECT,2026-04-04 13:11:00+00:00,short,direction_mismatch,single_condition,550,2026-04-04 13:11:00,1,-68.73,71.17,0.966,67165.735516,66905,,,,,,,,,,,,
2026-04-04,CANDIDATE_COMPARISON_REJECT,2026-04-04 16:40:00+00:00,short,vwap_side,single_condition,552,2026-04-04 16:40:00,1,-39.9,55.22,0.722,67138.170475,66938,,,,,,,,,,,,
2026-04-04,CANDIDATE_COMPARISON_REJECT,2026-04-04 17:13:00+00:00,long,direction_mismatch,single_condition,554,2026-04-04 17:13:00,1,93.09,183.81,0.506,67424.788538,66963,,,,,,,,,,,,
2026-04-04,CANDIDATE_COMPARISON_REJECT,2026-04-04 20:00:00+00:00,short,direction_mismatch,single_condition,556,2026-04-04 20:00:00,1,-30.55,31.13,0.981,67336.406845,67019,,,,,,,,,,,,
2026-04-04,CANDIDATE_COMPARISON_REJECT,2026-04-04 23:35:00+00:00,long,direction_mismatch,single_condition,558,2026-04-04 23:35:00,1,26.17,27.23,0.961,67271.66048,67059,,,,,,,,,,,,
