"target_ts","session_date","ts","minutes_from_target","is_target_case","event_type","kind","reject_reason","interesting_reject_bucket","rule_id","price","price_vs_vwap_side","cum_delta_60m","cum_delta_180m","ret_15m","ret_60m","same_side_as_target","later_same_side_event_in_window","later_same_side_accepted_in_window","later_same_side_stronger_reject_in_window"
"2026-03-20 00:40:00","2026-03-20","2026-03-20 00:40:00","0","yes","PEAK_EMIT","short","","","","69822.435231","below","526.4170000000013","-243.92799999999534","240.60000000000582","509.6000000000058","yes","yes","no","no"
"2026-03-20 00:40:00","2026-03-20","2026-03-20 00:45:00","5","no","CANDIDATE_COMPARISON_REJECT","long","direction_mismatch","unclear_but_constructive","IR_F1","69832.326701","below","680.3180000000048","-202.07399999999507","113.59999999999127","369.3999999999942","no","yes","no","no"
"2026-03-20 00:40:00","2026-03-20","2026-03-20 01:11:00","31","no","CANDIDATE_COMPARISON_REJECT","long","vwap_side","possible_reversal_confirmation","IR_B1","70059.747653","below","838.6540000000023","56.87300000000323","207.10000000000582","274.0","no","yes","no","no"
"2026-03-20 00:40:00","2026-03-20","2026-03-20 01:36:00","56","no","CANDIDATE_COMPARISON_REJECT","long","3of3_fail","possible_reversal_confirmation","IR_B1","70126.443466","above","686.601999999999","597.9470000000001","38.80000000000291","266.8000000000029","no","no","no","no"
"2026-03-20 00:40:00","2026-03-20","2026-03-20 02:00:00","80","no","CANDIDATE_COMPARISON_REJECT","short","direction_mismatch","unclear_but_constructive","IR_F1","70202.663967","above","354.5979999999972","1069.9969999999994","-169.5","211.0","yes","no","no","no"
"2026-03-21 09:15:00","2026-03-21","2026-03-21 09:10:00","-5","no","CANDIDATE_COMPARISON_REJECT","short","direction_mismatch","possible_reversal_onset","IR_A1","70700.807884","above","-709.7229999999995","-804.9889999999973","126.19999999999709","15.5","yes","yes","no","yes"
"2026-03-21 09:15:00","2026-03-21","2026-03-21 09:15:00","0","yes","CANDIDATE_COMPARISON_REJECT","short","vwap_side","possible_reversal_onset","IR_A2","70692.500855","above","-736.9049999999988","-909.2029999999968","128.40000000000873","30.90000000000873","yes","yes","no","no"
"2026-03-21 09:15:00","2026-03-21","2026-03-21 09:25:00","10","no","CANDIDATE_COMPARISON_REJECT","long","direction_mismatch","unclear_but_constructive","IR_F1","70592.814073","above","-386.0919999999992","-1021.2619999999965","-70.89999999999418","53.10000000000582","no","no","no","no"
"2026-03-21 09:15:00","2026-03-21","2026-03-21 09:40:00","25","no","CANDIDATE_COMPARISON_REJECT","short","direction_mismatch","possible_reversal_onset","IR_A1","70605.222625","above","-279.3389999999995","-1048.1709999999966","41.69999999999709","74.10000000000582","yes","no","no","no"
"2026-03-21 11:30:00","2026-03-21","2026-03-21 11:30:00","0","yes","CANDIDATE_COMPARISON_REJECT","short","vwap_side","possible_reversal_onset","IR_A2","70574.138293","above","-121.4660000000008","-134.37800000000016","45.0","32.10000000000582","yes","no","no","no"
"2026-03-23 12:25:00","2026-03-23","2026-03-23 11:01:00","-84","no","CANDIDATE_COMPARISON_REJECT","long","3of3_fail","possible_continuation_pressure","IR_C2","68354.35207","above","93.2549999999992","-588.5109999999997","224.60000000000582","273.0","no","yes","no","no"
"2026-03-23 12:25:00","2026-03-23","2026-03-23 12:06:00","-19","no","CANDIDATE_COMPARISON_REJECT","long","vwap_distance","","","69357.104465","above","2440.411000000002","2336.7090000000017","-557.9000000000087","-127.19999999999709","no","no","no","no"
"2026-03-23 12:25:00","2026-03-23","2026-03-23 12:15:00","-10","no","CANDIDATE_COMPARISON_REJECT","short","direction_mismatch","unclear_but_constructive","IR_F1","71054.797245","above","-4164.105999999999","2728.210000000001","-141.3000000000029","-978.3000000000029","yes","yes","no","yes"
"2026-03-23 12:25:00","2026-03-23","2026-03-23 12:16:00","-9","no","CANDIDATE_COMPARISON_REJECT","short","vwap_side","possible_trap_or_false_break","IR_E1","71124.696309","above","-2820.051999999999","2713.0060000000008","35.09999999999127","-946.0","yes","yes","no","yes"
"2026-03-23 12:25:00","2026-03-23","2026-03-23 12:25:00","0","yes","CANDIDATE_COMPARISON_REJECT","short","vwap_side","possible_trap_or_false_break","IR_E1","70386.13159","above","-781.9819999999995","3151.464","257.90000000000873","-228.1999999999971","yes","yes","no","yes"
"2026-03-23 12:25:00","2026-03-23","2026-03-23 12:48:00","23","no","CANDIDATE_COMPARISON_REJECT","short","vwap_side","unclear_but_constructive","IR_F1","70266.357824","above","588.3779999999992","4270.315","613.0","748.0999999999913","yes","no","no","no"
"2026-03-24 14:09:00","2026-03-24","2026-03-24 13:49:00","-20","no","CANDIDATE_COMPARISON_REJECT","short","vwap_side","possible_reversal_confirmation","IR_B1","70894.667935","above","-1614.1939999999977","-1477.5549999999967","-464.70000000001164","-620.2000000000116","yes","yes","no","yes"
"2026-03-24 14:09:00","2026-03-24","2026-03-24 14:09:00","0","yes","CANDIDATE_COMPARISON_REJECT","short","3of3_fail","possible_continuation_pressure","IR_C2","70816.640317","below","-2169.3259999999955","-1821.612999999992","222.1999999999971","-462.8999999999942","yes","yes","no","no"
