trade_key,group,journal_status,snapshot_status,reason,snapshot_sha256,market_readiness,incomplete_horizons,actual_entry_source,assessment_cutoff_source,outcome_reason,tp1_done,tp2_done,execution_snapshot_status,lifecycle_class,gross_realized_pnl_approx,net_realized_pnl_approx,prior_input_class
EX_EN_1778689753,PRIOR_21,success,REBUILT_PARTIAL_ASSESSMENT_TIME,,ef0102da96ea38e7f231bebb54635ffcbb86b7b090fccc5a0b8169642de1e107,READY_WITH_PARTIAL_CONTEXT,7d|30d,evidence_pack.entry_actual,NOT_RECORDED,SL,True,True,,,,,INPUT_INSUFFICIENT
EX_EN_1778813539,PRIOR_21,success,UNUSABLE,TradeEvaluationSnapshotError:preassessment chronology invalid,,,,evidence_pack.entry_actual,NOT_RECORDED,SL,False,False,,,,,INPUT_INSUFFICIENT
EX_EN_1779438963,PRIOR_21,success,REBUILT_PARTIAL_ASSESSMENT_TIME,,c24dbf07b6baf3172ad4ce1ed6f48eec304944f1062b5054e0fb84c4d90c6149,READY_WITH_PARTIAL_CONTEXT,7d|30d,evidence_pack.entry_actual,NOT_RECORDED,SL,True,True,partial,tp1_tp2_trailing_stop,,,INPUT_INSUFFICIENT
EX_EN_1779805524,PRIOR_21,success,REBUILT_PARTIAL_ASSESSMENT_TIME,,5ba7c7917e12459eb2fb358ae9c2c3adc948daed9a91f4621734a7b2f3b5608f,READY_WITH_PARTIAL_CONTEXT,30d,evidence_pack.entry_actual,NOT_RECORDED,SL,False,False,partial,plain_sl,-69.3322687,,INPUT_INSUFFICIENT
EX_EN_1779817154,SUPPLEMENTAL,error,REBUILT_PARTIAL_ASSESSMENT_TIME,,edb6baeb5b003e4d5e7b342caa9e56306c34c6459d58ba240c61a991ecd2b1c4,READY_WITH_PARTIAL_CONTEXT,30d,evidence_pack.entry_actual,NOT_RECORDED,,,,,,,,
EX_EN_1779900918,PRIOR_21,success,REBUILT_PARTIAL_ASSESSMENT_TIME,,7a42cab1007cdc4ce56c3982f7ecc8d700124deae93e5d2f40a0ea1617923f0d,READY_WITH_PARTIAL_CONTEXT,30d,evidence_pack.entry_actual,NOT_RECORDED,SL,False,False,partial,plain_sl,-0.6683782,,INPUT_INSUFFICIENT
EX_EN_1780067415,PRIOR_21,success,REBUILT_PARTIAL_ASSESSMENT_TIME,,483a97f06d4b1aa4d508d5f208532ecf10ab51a958d7179691cd630fdeb342a2,READY_WITH_PARTIAL_CONTEXT,30d,evidence_pack.entry_actual,NOT_RECORDED,SL,False,False,partial,plain_sl,-66.8330200,,INPUT_INSUFFICIENT
EX_EN_1781057890,PRIOR_21,success,REBUILT_PARTIAL_ASSESSMENT_TIME,,daec2e215e4519bbdd066a924de9253a33defa0e6c9e438dd606c944a1c8c69e,READY_WITH_PARTIAL_CONTEXT,30d,evidence_pack.entry_actual,NOT_RECORDED,SL,True,False,partial,tp1_sl,,,INPUT_INSUFFICIENT
EX_EN_1781221266,PRIOR_21,success,REBUILT_PARTIAL_ASSESSMENT_TIME,,0da828502f726f1770d3931be29f8e7448bcd39ab352de63be0a8cda4ff8733c,READY_WITH_PARTIAL_CONTEXT,30d,evidence_pack.entry_actual,NOT_RECORDED,SL,False,False,partial,plain_sl,-18.7331665,,INPUT_INSUFFICIENT
EX_EN_1781615351,PRIOR_21,success,REBUILT_PARTIAL_ASSESSMENT_TIME,,52a020c2dcca78de7f2576d0f56700835d9c52fe6a39f63acd5ebfbe06c85ef3,READY_WITH_PARTIAL_CONTEXT,30d,evidence_pack.entry_actual,NOT_RECORDED,SL,True,False,partial,tp1_sl,,,INPUT_INSUFFICIENT
EX_EN_1782076213,PRIOR_21,success,REBUILT_PARTIAL_ASSESSMENT_TIME,,4323b2e9dcfcaed4c01363f44bc1c782813471185a3f41c43311ba261740b7fc,READY_WITH_DEGRADED_DATA,,evidence_pack.entry_actual,NOT_RECORDED,SL,False,False,partial,plain_sl,,,INPUT_RECONSTRUCTABLE_CANONICAL
