trade_key,variant,model_requested,model_returned,reasoning_effort,snapshot_sha256,prompt_sha256,request_timestamp,response_id,verdict,confidence,setup_class,reason_codes,risk_flags,summary,token_usage,error
EX_EN_1778689753,A_CANONICAL,gpt-5.6-sol,gpt-5.6-sol,medium,ef0102da96ea38e7f231bebb54635ffcbb86b7b090fccc5a0b8169642de1e107,550074e9d866e2e807bb615a4ba7e5dab3e80bed892effcf3666e17041446e1a,2026-09-24T18:23:22.555346+00:00,resp_046044e63a227353016ab56a9bf22087d29720abc7881a0f92,REJECT,0.78,COUNTERTREND_LONG_IN_MARKDOWN,"[""LONG_AGAINST_EXPANSION_DOWN_REGIME"",""HIGH_CONFIDENCE_MARKDOWN_STRUCTURE"",""BEARISH_4H_1D_3D_CONTEXT"",""SHORT_TERM_REBOUND_ONLY"",""STOP_NOT_BEYOND_NEARBY_SESSION_LOW"",""TP1_REWARD_RISK_ONLY_1_11"",""TP2_REWARD_RISK_ACCEPTABLE_2_17"",""ENTRY_SLIGHTLY_IMPROVED_VS_SIGNAL""]","[""SIGNAL_MEASUREMENTS_MISSING"",""PARTIAL_RECONSTRUCTED_CONTEXT"",""EXACT_ASSESSMENT_CUTOFF_UNKNOWN"",""7D_30D_HORIZONS_INCOMPLETE"",""RECOVERED_DEGRADED_ZONE_EVIDENCE"",""MARKET_CUTOFF_PRECEDES_OBSERVED_FILL""]","Reject the executed long. The fill was about 7.84 USDC better than the converted signal price and 5m-30m observations showed a rebound, but the dominant evidence remained bearish: expansion down, high-confidence markdown structure, and negative 4h, 1d, and 3d price context near range lows. The initial stop at 78872.23 sat above the 78713.8 session/4h low and nearby Europe-low zone, while TP1 offered only 1.11R. Missing signal measurements and reconstructed partial context reduce certainty, but the available evidence argues against a clear long edge.","{""input_tokens"":7043,""input_tokens_details"":{""cache_write_tokens"":7040,""cached_tokens"":0},""output_tokens"":595,""output_tokens_details"":{""reasoning_tokens"":271},""total_tokens"":7638}",
EX_EN_1778689753,B_CANONICAL,gpt-5.6-sol,gpt-5.6-sol,medium,ef0102da96ea38e7f231bebb54635ffcbb86b7b090fccc5a0b8169642de1e107,a94f13a911dc22b8d7d8d3bf2ba1712add2a135d2fcae4db117f02326f5fbea3,2026-09-24T18:23:34.834824+00:00,resp_0ff2184bd1535bc6016ab56aa70fdc87d289a9583849586567,UNCLEAR,0.82,reversal_onset,"[""LOCAL_REBOUND_SUPPORTS_LONG"",""BROAD_TREND_OPPOSES_LONG"",""ENTRY_BELOW_240M_1D_3D_VWAP"",""MARKDOWN_EXPANSION_REGIME"",""TARGET_PATH_INTERSECTS_SIGNIFICANT_ZONE"",""PEAK_MEASUREMENTS_UNAVAILABLE"",""MIXED_HORIZON_EVIDENCE"",""MODEST_TP1_REWARD_RISK""]","[""COUNTERTREND_LONG"",""SIGNIFICANT_ZONE_OVERLAPS_TP1_TP2_PATH"",""TP1_R_ONLY_1.11"",""RECONSTRUCTED_PARTIAL_SNAPSHOT"",""INCOMPLETE_7D_30D_CONTEXT"",""RECOVERED_DEGRADED_ZONE_EVIDENCE"",""POC_UNAVAILABLE"",""EXACT_ASSESSMENT_CUTOFF_UNKNOWN""]","The long has a fresh 5m-30m rebound with positive delta and price above short-horizon VWAPs, but this is only early reversal evidence against an EXPANSION_DOWN/MARKDOWN regime. Price remains well below 240m, 1d, and 3d VWAPs and near the lower end of the 1d/3d ranges. A significant mixed-quality zone overlaps the target path, TP1 offers only 1.11R, and the underlying PEAK measurements are missing. Broad trend conflict plus partial reconstruction prevents a reliable directional edge.","{""input_tokens"":7272,""input_tokens_details"":{""cache_write_tokens"":7269,""cached_tokens"":0},""output_tokens"":621,""output_tokens_details"":{""reasoning_tokens"":304},""total_tokens"":7893}",
EX_EN_1778689753,C_CANONICAL,gpt-5.6-sol,gpt-5.6-sol,medium,ef0102da96ea38e7f231bebb54635ffcbb86b7b090fccc5a0b8169642de1e107,7bf0899065188bcc1a91c510ee7bd872e25b84a6efa7a19429ed527ce40201fc,2026-09-24T18:23:42.066075+00:00,resp_056a2a6453c1c0fc016ab56aae524487d285140f7996facc9e,UNCLEAR,0.78,COUNTERTREND_REBOUND_LONG,"[""SHORT_TERM_REBOUND_SUPPORTS_LONG"",""5M_15M_30M_PRICE_AND_DELTA_POSITIVE"",""ENTRY_CLOSE_TO_SIGNAL_PRICE"",""TP2_REWARD_RISK_ACCEPTABLE"",""TP1_REWARD_RISK_ONLY_MARGINAL"",""BROADER_4H_1D_3D_TREND_OPPOSES_LONG"",""ENTRY_NEAR_LOW_END_OF_BROADER_RANGES"",""EVIDENCE_CONFLICTS_PREVENT_DECISIVE_RATING""]","[""SIGNAL_MEASUREMENTS_MISSING"",""PARTIAL_RECONSTRUCTED_SNAPSHOT"",""EXACT_ASSESSMENT_CUTOFF_UNKNOWN"",""MARKET_CUTOFF_PRECEDES_SIGNAL_AND_FILL"",""7D_AND_30D_HORIZONS_INCOMPLETE"",""RECOVERED_DEGRADED_ZONE_CONTEXT"",""STOP_ABOVE_RECENT_SESSION_LOW"",""COUNTERTREND_LONG_IN_EXPANSION_DOWN""]","The long had credible immediate rebound evidence: 5m, 15m, and 30m price action and delta were positive, and the actual entry remained close to the signal price. Geometry was mixed, with TP2 offering about 2.17R but TP1 only about 1.11R. The stronger 4h, 1d, and 3d observations remained bearish, the regime was classified as expansion down/markdown, and the stop sat above the recent 78,713.8 low, leaving it exposed to a retest. Missing signal measurements, an unknown exact assessment cutoff, and partial/degraded reconstructed context prevent determining whether the short-term reversal evidence was strong enough to justify the countertrend risk.","{""input_tokens"":7021,""input_tokens_details"":{""cache_write_tokens"":7018,""cached_tokens"":0},""output_tokens"":621,""output_tokens_details"":{""reasoning_tokens"":252},""total_tokens"":7642}",
EX_EN_1779438963,A_CANONICAL,gpt-5.6-sol,gpt-5.6-sol,medium,c24dbf07b6baf3172ad4ce1ed6f48eec304944f1062b5054e0fb84c4d90c6149,be4a11b77369316dd321d3719df73df8468aa731a0e9a63f844b881dabfce550,2026-09-24T18:23:53.252114+00:00,resp_09d5c97f3df59828016ab56ab97dcc87d284718d3bbaa028f9,SUPPORT,0.72,BEARISH_MOMENTUM_CONTINUATION_SHORT,"[""SHORT_ALIGNS_WITH_EXPANSION_DOWN_STRUCTURE"",""NEGATIVE_DELTA_AND_DECLINING_OPEN_INTEREST"",""PRICE_BELOW_SHORT_AND_MEDIUM_HORIZON_VWAP"",""BEARISH_5M_15M_60M_240M_MOMENTUM"",""ACTUAL_ENTRY_CLOSE_TO_SIGNAL_AFTER_QUOTE_CONVERSION"",""TP1_R_MARGINAL_AT_1.04"",""TP2_R_ACCEPTABLE_AT_2.06"",""DOWNSIDE_LIQUIDITY_ZONES_OFFER_TARGETS_BUT_MAY_CAUSE_REACTION""]","[""ROLLING_REGIME_CHOP_LOW_CONFIDENCE"",""ENTRY_NEAR_LOWER_END_OF_INTRADAY_RANGES_AFTER_SHARP_DROP"",""ACTIVE_SWING_LOW_ZONE_AROUND_0.65R_BELOW_ENTRY"",""HIGH_CONFIDENCE_DOUBLE_BOTTOM_ZONE_BEFORE_TP2"",""PARTIAL_RECONSTRUCTED_CONTEXT"",""INCOMPLETE_7D_AND_30D_HORIZONS"",""EXACT_ASSESSMENT_CUTOFF_UNAVAILABLE"",""PRICE_VOLUME_POC_UNAVAILABLE""]","SUPPORT: The executed short is aligned with medium-confidence expansion-down structure, broad intraday weakness, negative flow, declining open interest, and price below VWAP across key short-to-medium horizons. Execution remained close to the quote-adjusted signal and provides about 1.04R to TP1 and 2.06R to TP2. Edge is moderated by a low-confidence CHOP regime, entry after a sharp decline near range lows, downside liquidity/reaction zones in the target path, and partial reconstructed context.","{""input_tokens"":6808,""input_tokens_details"":{""cache_write_tokens"":6805,""cached_tokens"":0},""output_tokens"":667,""output_tokens_details"":{""reasoning_tokens"":301},""total_tokens"":7475}",
EX_EN_1779438963,B_CANONICAL,gpt-5.6-sol,gpt-5.6-sol,medium,c24dbf07b6baf3172ad4ce1ed6f48eec304944f1062b5054e0fb84c4d90c6149,950254c0c5a1bc7e9b601c92dcd2781b10b89b88ebb139b1379d2b497091e7c9,2026-09-24T18:24:04.519082+00:00,resp_0dc99d32104c3fb5016ab56ac4cf2487d2960ba6cd160e30c4,REJECT,0.78,exhaustion,"[""SHORT_ENTRY_LATE_AFTER_SHARP_5M_DECLINE"",""ENTRY_NEAR_60M_AND_240M_RANGE_LOWS"",""DOWNSIDE_LIQUIDITY_ZONES_OPPOSE_TARGET_PATH"",""TP1_REWARD_RISK_ONLY_MARGINAL"",""LOCAL_FLOW_AND_STRUCTURE_BEARISH_BUT_ALREADY_STRETCHED""]","[""ACTIVE_SWING_LOW_AND_US_LOW_ZONE_BEFORE_TP1"",""HIGH_CONFIDENCE_DOUBLE_BOTTOM_ZONE_INTERSECTS_TP2_PATH"",""SIGNIFICANT_ZONE_OVERLAPS_ENTRY_AND_TARGETS_WITH_DEGRADED_QUALITY"",""RECONSTRUCTED_PARTIAL_SNAPSHOT"",""INCOMPLETE_7D_AND_30D_HORIZONS"",""CANONICAL_POC_UNAVAILABLE""]","The short agrees with negative delta, falling open interest, sub-VWAP pricing, and expansion-down structure, but the executed entry follows a sharp decline and sits close to the observed 60m/240m lows. Active downside liquidity lies before TP1, with stronger double-bottom liquidity opposing TP2, while TP1 offers only about 1.04R. This is an unfavorable late continuation chase despite bearish flow.","{""input_tokens"":7037,""input_tokens_details"":{""cache_write_tokens"":7034,""cached_tokens"":0},""output_tokens"":727,""output_tokens_details"":{""reasoning_tokens"":456},""total_tokens"":7764}",
EX_EN_1779438963,C_CANONICAL,gpt-5.6-sol,gpt-5.6-sol,medium,c24dbf07b6baf3172ad4ce1ed6f48eec304944f1062b5054e0fb84c4d90c6149,6eeec2efd201adace3ee6d6718b9fe9fd8e0b1e7c322e3583f12c65e9a935664,2026-09-24T18:24:16.462756+00:00,resp_07ae899593ff5224016ab56ad0bb6087d2b437c56e72376040,SUPPORT,0.7,BEARISH_MOMENTUM_CONTINUATION_SHORT,"[""SHORT_ALIGNED_WITH_EXPANSION_DOWN"",""NEGATIVE_DELTA_SUPPORTS_SELL_PRESSURE"",""PRICE_BELOW_VWAP_ACROSS_INTRADAY_HORIZONS"",""FAVORABLE_EXECUTION_VERSUS_QUOTE_ADJUSTED_SIGNAL"",""TP2_OFFERS_ABOVE_2R"",""TP1_ONLY_MARGINAL_AT_1.04R"",""DOWNSIDE_LIQUIDITY_ZONES_OBSTRUCT_TARGET_PATH""]","[""ENTRY_NEAR_INTRADAY_RANGE_LOW_AFTER_SHARP_DECLINE"",""ACTIVE_SWING_LOW_ZONE_BEFORE_TP1"",""HIGH_CONFIDENCE_DOUBLE_BOTTOM_ZONE_BEFORE_TP2"",""POSITIVE_IMBALANCE_CONFLICTS_WITH_NEGATIVE_DELTA"",""PARTIAL_RECONSTRUCTED_CONTEXT"",""INCOMPLETE_7D_AND_30D_HORIZONS"",""EXACT_ASSESSMENT_CUTOFF_UNAVAILABLE"",""PRICE_VOLUME_POC_UNAVAILABLE""]","The executed short is supported by coherent bearish intraday evidence: negative DeltaScout delta, price below VWAP from 5m through 1d, falling price and open interest, and a medium-confidence expansion-down structure. Execution was close to the quote-adjusted signal and the initial geometry provides about 1.04R to TP1 and 2.06R to TP2. Quality is reduced because entry followed a sharp decline near local range lows, with active downside liquidity around 76878-76955 before TP1 and a high-confidence double-bottom zone around 76605-76682 before TP2. Partial reconstructed broad context and the conflicting positive imbalance further limit confidence.","{""input_tokens"":6786,""input_tokens_details"":{""cache_write_tokens"":6783,""cached_tokens"":0},""output_tokens"":777,""output_tokens_details"":{""reasoning_tokens"":411},""total_tokens"":7563}",
EX_EN_1779805524,A_CANONICAL,gpt-5.6-sol,gpt-5.6-sol,medium,5ba7c7917e12459eb2fb358ae9c2c3adc948daed9a91f4621734a7b2f3b5608f,1f79bc2268287f16a29696eb64e55a54228ea236591f677d571dcec03c6d607b,2026-09-24T18:24:29.883417+00:00,resp_04cdda9395aa4b33016ab56ade338087d2b3b0a1af18b1cc39,REJECT,0.8,LATE_LONG_MOMENTUM_CHASE_INTO_RESISTANCE,"[""ADVERSE_ENTRY_SLIPPAGE"",""POOR_TP1_REWARD_RISK"",""NEAR_RANGE_HIGH"",""RESISTANCE_BEFORE_TP1"",""DECLINING_OPEN_INTEREST_ON_RALLY"",""MOMENTUM_SUPPORTS_LONG""]","[""TP1_R_0.659"",""TP2_R_1.489"",""ENTRY_0.296_PCT_ABOVE_CONVERTED_SIGNAL"",""HIGH_CONFIDENCE_RESISTANCE_0.729_PCT_ABOVE_ENTRY"",""CHOP_REGIME_LOW_CONFIDENCE"",""PARTIAL_RECONSTRUCTED_CONTEXT"",""INCOMPLETE_DEGRADED_30D_DATA"",""EXACT_ASSESSMENT_CUTOFF_UNAVAILABLE""]","REJECT the executed long entry. Short- through multi-day momentum, positive delta, above-VWAP pricing, and compression above support favor the direction, but the actual fill chased roughly 0.296% above the converted signal price while already near the top of the observed ranges. High-confidence resistance begins only about 0.729% above entry and lies before TP1, leaving TP1 at just 0.659R and TP2 at 1.489R. Falling open interest during the rally also weakens continuation quality. Partial reconstructed context limits certainty, but the execution geometry materially erodes the long edge.","{""input_tokens"":6720,""input_tokens_details"":{""cache_write_tokens"":6717,""cached_tokens"":0},""output_tokens"":528,""output_tokens_details"":{""reasoning_tokens"":214},""total_tokens"":7248}",
EX_EN_1779805524,B_CANONICAL,gpt-5.6-sol,gpt-5.6-sol,medium,5ba7c7917e12459eb2fb358ae9c2c3adc948daed9a91f4621734a7b2f3b5608f,4b639601f5fee54b23f50cc787aff88485dc78c1aafff60fde62545369fdf48c,2026-09-24T18:24:37.131407+00:00,resp_04c892a64d399c87016ab56ae59bb087d294d737290647babe,REJECT,0.84,exhaustion,"[""late_long_entry_near_multihorizon_extrema"",""significant_resistance_blocks_target_path"",""unfavorable_initial_reward_to_risk"",""entry_worse_than_signal"",""price_rise_with_falling_open_interest"",""local_flow_positive_but_stretched""]","[""entry_at_93.9pct_of_60m_and_240m_ranges"",""entry_at_96.9pct_of_3d_range"",""high_confidence_resistance_begins_0.73pct_above_entry"",""tp1_only_0.66R"",""tp2_only_1.49R"",""fill_0.30pct_above_signal_price"",""open_interest_declining_across_local_and_broad_horizons"",""partial_reconstructed_context"",""30d_horizon_incomplete"",""poc_unavailable_in_canonical_market_horizons""]","REJECT the executed long entry. Positive delta, imbalance, and price above VWAP support the direction, but the fill chased an already extended move near the 60m, 240m, 3d, and 7d highs. High-confidence resistance starts only about 0.73% above entry and intersects both target paths, while TP1 offers just 0.66R. Falling open interest during the advance also suggests covering-driven rather than durable continuation.","{""input_tokens"":6949,""input_tokens_details"":{""cache_write_tokens"":6946,""cached_tokens"":0},""output_tokens"":495,""output_tokens_details"":{""reasoning_tokens"":194},""total_tokens"":7444}",
EX_EN_1779805524,C_CANONICAL,gpt-5.6-sol,gpt-5.6-sol,medium,5ba7c7917e12459eb2fb358ae9c2c3adc948daed9a91f4621734a7b2f3b5608f,88968fbb9283cbc32b22035e714fc729fc49bfebbc85d41a60f2bb95b9e6719d,2026-09-24T18:24:45.112236+00:00,resp_0d6e7767abdefbd5016ab56aed829887d2894ef146088d5fcf,REJECT,0.84,LONG_MOMENTUM_BREAKOUT_INTO_RESISTANCE_WITH_WEAK_RISK_REWARD,"[""POOR_TP1_REWARD_RISK_0_66R"",""TP2_REWARD_RISK_ONLY_1_49R"",""HIGH_CONFIDENCE_RESISTANCE_BEGINS_0_42R_ABOVE_ENTRY"",""BOTH_TARGET_PATHS_INTERSECT_RESISTANCE"",""ENTRY_WORSE_THAN_SIGNAL_BY_0_296_PERCENT"",""ENTRY_NEAR_MULTI_HORIZON_RANGE_HIGHS"",""PRICE_ABOVE_VWAP_WITH_POSITIVE_SHORT_TERM_DELTA_SUPPORTS_LONG"",""FALLING_OPEN_INTEREST_WEAKENS_RALLY_QUALITY"",""STRUCTURE_COMPRESSION_ABOVE_SUPPORT_BUT_REGIME_CHOP""]","[""MOMENTUM_CHASE_NEAR_RANGE_HIGH"",""NEARBY_OVERHEAD_RESISTANCE"",""UNFAVORABLE_INITIAL_GEOMETRY"",""PRICE_RISE_WITH_OPEN_INTEREST_CONTRACTION"",""STOP_EXTENDS_INTO_QUALIFIED_SUPPORT_ZONE"",""EXACT_ASSESSMENT_CUTOFF_UNAVAILABLE"",""RECONSTRUCTED_PARTIAL_SNAPSHOT"",""30D_HORIZON_INCOMPLETE_AND_DEGRADED"",""PRICE_VOLUME_POC_UNAVAILABLE"",""APPROXIMATE_USDT_USDC_CONVERSION""]","The long had genuine directional support: strong recent price gains, positive short-horizon delta, price above VWAP, and compression above support. However, the actual fill chased the signal by about 0.296% and occurred near the top of the 1d, 3d, and 7d ranges. High-confidence resistance began only 0.422R above entry and obstructed both targets, while TP1 offered just 0.659R and TP2 1.489R. Falling open interest during the advance also suggests short covering rather than robust new long participation. Despite favorable momentum, the executed geometry and overhead supply make this a low-quality trade.","{""input_tokens"":6698,""input_tokens_details"":{""cache_write_tokens"":6695,""cached_tokens"":0},""output_tokens"":764,""output_tokens_details"":{""reasoning_tokens"":339},""total_tokens"":7462}",
EX_EN_1779900918,A_CANONICAL,gpt-5.6-sol,gpt-5.6-sol,medium,7a42cab1007cdc4ce56c3982f7ecc8d700124deae93e5d2f40a0ea1617923f0d,1b7e0b2bb10bea4cb04e58cd8dd036fc1f85ae1fa84882b3a8ed415f75b5af9f,2026-09-24T18:24:58.330130+00:00,resp_07d715eaf1361193016ab56afa94a487d2809b1f477cc5d508,REJECT,0.84,LATE_COUNTERTREND_REBOUND_LONG,"[""LONG_CONFLICTS_WITH_HIGH_CONFIDENCE_EXPANSION_DOWN_STRUCTURE"",""BROAD_1D_3D_7D_PRICE_CONTEXT_BEARISH"",""ENTRY_FOLLOWS_SHORT_TERM_REBOUND_NEAR_LOCAL_RANGE_HIGHS"",""SIGNAL_TO_FILL_DELAY_APPROX_122_MINUTES"",""TP1_REWARD_RISK_BELOW_1R"",""TP2_INTERSECTS_SIGNIFICANT_RESISTANCE_AND_OVERHEAD_LIQUIDITY"",""STOP_PLACED_INSIDE_ACTIVE_HIGH_CONFIDENCE_DOUBLE_BOTTOM_LIQUIDITY_ZONE"",""SIGNAL_POC_VWAP_DISCONNECTED_FROM_ENTRY_MARKET_PRICE""]","[""COUNTERTREND_LONG"",""STALE_SIGNAL_AT_EXECUTION"",""LOCAL_BUY_FLOW_CONFLICTS_WITH_BROAD_DISTRIBUTION"",""TP1_R_0.759"",""OVERHEAD_RESISTANCE_BEFORE_OR_AT_TP2"",""STOP_LIQUIDITY_SWEEP_RISK"",""PARTIAL_RECONSTRUCTED_SNAPSHOT"",""EXACT_ASSESSMENT_CUTOFF_UNAVAILABLE"",""30D_HORIZON_INCOMPLETE_AND_DEGRADED"",""POC_UNAVAILABLE_IN_MARKET_MONITOR""]","REJECT: The executed long was entered about two hours after the signal into a short-term rebound near local highs, while high-confidence rolling structure and market state remained EXPANSION_DOWN and the 1d/3d/7d context was bearish. Execution geometry is also weak: TP1 offers only 0.76R, TP2 runs into significant resistance and multiple overhead liquidity zones, and the stop lies inside an active high-confidence downside liquidity zone. Positive near-term flow supports a bounce but does not establish a clear long edge against the broader structure, especially with stale and price-disconnected signal measurements and partial reconstructed context.","{""input_tokens"":6956,""input_tokens_details"":{""cache_write_tokens"":6953,""cached_tokens"":0},""output_tokens"":796,""output_tokens_details"":{""reasoning_tokens"":394},""total_tokens"":7752}",
