trade_key,cutoff_utc,verdict_created_utc,side,historical_verdict,historical_prompt_version,historical_model,historical_call_status,historical_v1_240_rows,historical_v1_240_expected,historical_v1_monitor_schema,lifecycle_class,gross_realized_pnl_approx,net_realized_pnl_approx,execution_snapshot_status,outcome_reason,verdict_journal_source,outcome_journal_source,research_snapshot_sha256,model_input_sha256,monitor_readiness,canonical_1440_rows,canonical_240_rows,canonical_240_delta_pct,canonical_240_oi_change,range_position_60,range_position_240,broad_1d_complete,broad_3d_complete,broad_7d_complete,broad_30d_complete,historical_v1_240_corrupted,input_class,case_notes,historical_prompt_era_inference,model_input_quality_gaps,controlled_ab_eligible
EX_EN_1778689753,2026-05-13 16:29:11,2026-05-13T16:29:29.905041+00:00,long,UNCLEAR,UNRECORDED,gpt-5.5,success,,,,,,,,SL,/root/volume-alert/data/state/llm_trade_verdicts.jsonl#EX_EN_1778689753,/root/volume-alert/data/state/trade_outcomes.jsonl#EX_EN_1778689753,5934ad4cbb72259fbba3eb72486a4685274a3518a283008b68ef6883780ee793,e007d0861c838aa5695578db0489e04b0f0f29426f1d0ef0c64b6cc902a76062,READY,1440,240,-0.0145989694,24.58,0.471125,0.176303,true,true,false,false,false,INPUT_INSUFFICIENT,broad_30d_feed_incomplete,PRE_CALIBRATION_COMMIT_DEPLOY_UNVERIFIED,BROAD_30D_INCOMPLETE|BROAD_7D_INCOMPLETE|INCOMPLETE_EXECUTION_GEOMETRY|UPSTREAM_FILTER_PROVENANCE_MISSING,false
EX_EN_1778813539,2026-05-15 04:52:00,2026-05-15T02:52:39.226319+00:00,long,SUPPORT,UNRECORDED,gpt-5.5,success,,,,,,,,SL,/root/volume-alert/data/state/llm_trade_verdicts.jsonl#EX_EN_1778813539,/root/volume-alert/data/state/trade_outcomes.jsonl#EX_EN_1778813539,357709d53be286b3eec4a934384d1e703656315c49841ccca5ef509037d4554a,d08c3f7510613b2e7cae914e49d096414de9257a7706016720bc9d87d9f933ab,READY,1440,240,0.0199869519,-993.92,0.017084,0.137743,true,true,true,false,false,INPUT_INSUFFICIENT,verdict_created_before_claimed_cutoff,PRE_CALIBRATION_COMMIT_DEPLOY_UNVERIFIED,BROAD_30D_INCOMPLETE|INCOMPLETE_EXECUTION_GEOMETRY|UPSTREAM_FILTER_PROVENANCE_MISSING|market_state.value.data_gaps:market_structure_state_resistance_zone_missing|market_structure_state.value.data_gaps:market_structure_state_resistance_zone_missing,false
EX_EN_1779438963,2026-05-22T08:36:00Z,2026-05-22T08:36:30.674529+00:00,short,SUPPORT,UNRECORDED,gpt-5.5,success,,,,tp1_tp2_trailing_stop,,,partial,SL,/root/volume-alert/data/state/llm_trade_verdicts.jsonl#EX_EN_1779438963,/root/volume-alert/data/state/trade_execution_snapshots.jsonl#EX_EN_1779438963,6f8c7aeafccc64a342e891f4075536782eacdb5ed96ebe4b8eaf2850fb8e6e52,b8f49f7d062538f2875063d31d5248fa3ef0199cb21a25a513dc5a60e806492f,READY,1440,240,-0.0721909064,-348.39,0.252309,0.152668,true,true,false,false,false,INPUT_INSUFFICIENT,broad_30d_feed_incomplete,PRE_CALIBRATION_COMMIT_DEPLOY_UNVERIFIED,BROAD_30D_INCOMPLETE|BROAD_7D_INCOMPLETE|INCOMPLETE_EXECUTION_GEOMETRY|UPSTREAM_FILTER_PROVENANCE_MISSING|market_state.value.data_gaps:market_structure_state_support_zone_missing|market_structure_state.value.data_gaps:market_structure_state_support_zone_missing,false
EX_EN_1779805524,2026-05-26T14:25:00Z,2026-05-26T14:27:23.019427+00:00,long,SUPPORT,UNRECORDED,gpt-5.5,success,,,,plain_sl,-69.3322687,,partial,SL,/root/volume-alert/data/state/llm_trade_verdicts.jsonl#EX_EN_1779805524,/root/volume-alert/data/state/trade_execution_snapshots.jsonl#EX_EN_1779805524,2c0cbe1ec8a5f7e621ffd5c6287d43b32fd29c59fafbf55bce141871e0813104,1e6a5c0ddc90822c649b2765c1a33d89105bf560b3dff7a8de860793097d7158,READY,1440,240,0.0171222282,-1285.6,0.917372,0.917372,true,true,true,false,false,INPUT_INSUFFICIENT,broad_30d_feed_incomplete,PRE_CALIBRATION_COMMIT_DEPLOY_UNVERIFIED,BROAD_30D_INCOMPLETE|INCOMPLETE_EXECUTION_GEOMETRY|UPSTREAM_FILTER_PROVENANCE_MISSING,false
EX_EN_1779900918,2026-05-27T14:55:16Z,2026-05-27T16:57:11.003394+00:00,long,REJECT,UNRECORDED,gpt-5.5,success,,,,plain_sl,-0.6683782,,partial,SL,/root/volume-alert/data/state/llm_trade_verdicts.jsonl#EX_EN_1779900918,/root/volume-alert/data/state/trade_execution_snapshots.jsonl#EX_EN_1779900918,0d41d65ed2c18d5f9f5a79925c3b1c6352bb196d29cb6a1edf07638e7efd64da,8421ce8e4cb550d9776ca7add5ceadba56b88f54ebc692464be78555c2340004,READY,1440,240,-0.0441244271,1884.27,0.668093,0.242006,true,true,true,false,false,INPUT_INSUFFICIENT,broad_30d_feed_incomplete,PRE_CALIBRATION_COMMIT_DEPLOY_UNVERIFIED,BROAD_30D_INCOMPLETE|INCOMPLETE_EXECUTION_GEOMETRY|UPSTREAM_FILTER_PROVENANCE_MISSING|market_state.value.data_gaps:market_structure_state_support_zone_missing|market_structure_state.value.data_gaps:market_structure_state_support_zone_missing,false
EX_EN_1780067415,2026-05-29T15:10:00Z,2026-05-29T15:12:31.691432+00:00,long,SUPPORT,UNRECORDED,gpt-5.5,success,,,,plain_sl,-66.8330200,,partial,SL,/root/volume-alert/data/state/llm_trade_verdicts.jsonl#EX_EN_1780067415,/root/volume-alert/data/state/trade_execution_snapshots.jsonl#EX_EN_1780067415,4874365c8edd4b3187a8b637e079794817925c529123e6ffd48271d97c5c6bc8,bdd4171d7a9cb234aec02a22c99e0cfd24a7df88bc3ba320d9bb63e2ec1d2feb,READY,1440,240,-0.0033133627,1102.01,0.936417,0.936417,true,true,true,false,false,INPUT_INSUFFICIENT,broad_30d_feed_incomplete,PRE_CALIBRATION_COMMIT_DEPLOY_UNVERIFIED,BROAD_30D_INCOMPLETE|INCOMPLETE_EXECUTION_GEOMETRY|UPSTREAM_FILTER_PROVENANCE_MISSING,false
EX_EN_1781057890,2026-06-10T02:18:00Z,2026-06-10T02:18:34.119365+00:00,short,SUPPORT,UNRECORDED,gpt-5.5,success,,,,tp1_sl,,,partial,SL,/root/volume-alert/data/state/llm_trade_verdicts.jsonl#EX_EN_1781057890,/root/volume-alert/data/state/trade_execution_snapshots.jsonl#EX_EN_1781057890,10b8528f5340750a8895ec3052891656f4e52f3a6e92f9ba4c9c5a148fcf51d8,3bef64c82334bf514b8544e73139fa0965cee55b8fc80760b97397e9f3d4a196,READY,1440,240,-0.0542034205,723.56,0.121065,0.104845,true,true,true,false,false,INPUT_INSUFFICIENT,broad_30d_feed_incomplete,PRE_CALIBRATION_COMMIT_DEPLOY_UNVERIFIED,BROAD_30D_INCOMPLETE|INCOMPLETE_EXECUTION_GEOMETRY|UPSTREAM_FILTER_PROVENANCE_MISSING|market_state.value.data_gaps:market_structure_state_support_zone_missing|market_structure_state.value.data_gaps:market_structure_state_support_zone_missing,false
EX_EN_1781221266,2026-06-11T23:41:00Z,2026-06-11T23:42:41.014434+00:00,long,SUPPORT,UNRECORDED,gpt-5.5,success,240,240,market_monitor_snapshot_v1,plain_sl,-18.7331665,,partial,SL,/root/volume-alert/data/state/llm_trade_verdicts.jsonl#EX_EN_1781221266,/root/volume-alert/data/state/trade_execution_snapshots.jsonl#EX_EN_1781221266,2c69cb42abf008e592fcf02ae2f6099f76510aa3970eac515a9dd1df14ca0e09,c43343927b6a85ec58b96e827c17da60f90314ba62cbfcde6e49d8178c3c3c56,READY_WITH_RECOVERED_DATA,1440,240,0.0020074716,-980.33,0.832379,0.762019,true,true,true,false,false,INPUT_INSUFFICIENT,broad_30d_feed_incomplete;recovered_or_synthetic_feed,PRE_CALIBRATION_COMMIT_DEPLOY_UNVERIFIED,BROAD_30D_INCOMPLETE|INCOMPLETE_EXECUTION_GEOMETRY|UPSTREAM_FILTER_PROVENANCE_MISSING,false
EX_EN_1781615351,2026-06-16T13:09:00Z,2026-06-16T13:11:43.004766+00:00,short,SUPPORT,UNRECORDED,gpt-5.5,success,240,240,market_monitor_snapshot_v1,tp1_sl,,,partial,SL,/root/volume-alert/data/state/llm_trade_verdicts.jsonl#EX_EN_1781615351,/root/volume-alert/data/state/trade_execution_snapshots.jsonl#EX_EN_1781615351,ac9603156d4285c1d630e87ec2f42959d7955ea50965c3b6decb6fd1c80cd782,e6c478049e4f3226eb494c245f0ee07977b9fc4cd3377538149a74b5846af0b0,READY_WITH_RECOVERED_DATA,1440,240,-0.0629454151,252.44,0.003649,0.003649,true,true,true,false,false,INPUT_INSUFFICIENT,broad_30d_feed_incomplete;recovered_or_synthetic_feed,PRE_CALIBRATION_COMMIT_DEPLOY_UNVERIFIED,BROAD_30D_INCOMPLETE|INCOMPLETE_EXECUTION_GEOMETRY|UPSTREAM_FILTER_PROVENANCE_MISSING,false
EX_EN_1782076213,2026-06-21T21:10:00Z,2026-06-21T21:10:51.347472+00:00,short,SUPPORT,UNRECORDED,gpt-5.5,success,240,240,market_monitor_snapshot_v1,plain_sl,,,partial,SL,/root/volume-alert/data/state/llm_trade_verdicts.jsonl#EX_EN_1782076213,/root/volume-alert/data/state/trade_execution_snapshots.jsonl#EX_EN_1782076213,4d7f5ceeac94931ed63965fa4171ea2a35ece20e8268ecadb6acceceda2d1001,8556ba23091e77c8a9a1877e68bfee532631858d486deb6cfc9056283e94f8d0,READY,1440,240,-0.0360115921,-381.22,0.033586,0.030069,true,true,true,true,false,INPUT_RECONSTRUCTABLE_CANONICAL,full_30d_feed_replay,PRE_CALIBRATION_COMMIT_DEPLOY_UNVERIFIED,INCOMPLETE_EXECUTION_GEOMETRY|UPSTREAM_FILTER_PROVENANCE_MISSING,PENDING_ADMISSION_GEOMETRY_PROVENANCE
EX_EN_1782306796,2026-06-24T13:13:00Z,2026-06-24T13:14:01.257839+00:00,short,SUPPORT,UNRECORDED,gpt-5.5,success,240,240,market_monitor_snapshot_v1,tp1_tp2_trailing_stop,,,partial,SL,/root/volume-alert/data/state/llm_trade_verdicts.jsonl#EX_EN_1782306796,/root/volume-alert/data/state/trade_execution_snapshots.jsonl#EX_EN_1782306796,f398e648778983d003c4240ad90cb13d44a16707de65ad5daa68e4392c259363,dadd577b0ad9755ea013d315956a4557df13923b0c55ab5c08dc72afc58f3aa0,READY,1440,240,-0.0830590334,-239.56,0.049577,0.036362,true,true,true,true,false,INPUT_RECONSTRUCTABLE_CANONICAL,full_30d_feed_replay,PRE_CALIBRATION_COMMIT_DEPLOY_UNVERIFIED,INCOMPLETE_EXECUTION_GEOMETRY|UPSTREAM_FILTER_PROVENANCE_MISSING,PENDING_ADMISSION_GEOMETRY_PROVENANCE
EX_EN_1782477849,2026-06-26T12:44:00Z,2026-06-26T12:44:46.585972+00:00,short,SUPPORT,UNRECORDED,gpt-5.5,success,240,240,market_monitor_snapshot_v1,plain_sl,,,partial,SL,/root/volume-alert/data/state/llm_trade_verdicts.jsonl#EX_EN_1782477849,/root/volume-alert/data/state/trade_execution_snapshots.jsonl#EX_EN_1782477849,af5b6b25512a5ce8c808924a05c1bc65c6255b53dbbfe9b9f76e75cde5c63423,e6c6e715de4f9ee3d7db9326b4406785713f2e6535617f216ca423e731f1e9c9,READY_WITH_RECOVERED_DATA,1440,240,-0.0468726957,-706.74,0.00822,0.006643,true,true,true,true,false,INPUT_RECONSTRUCTABLE_CANONICAL,full_30d_feed_replay;recovered_or_synthetic_feed,PRE_CALIBRATION_COMMIT_DEPLOY_UNVERIFIED,INCOMPLETE_EXECUTION_GEOMETRY|UPSTREAM_FILTER_PROVENANCE_MISSING|market_state.value.data_gaps:market_structure_state_support_zone_missing|market_structure_state.value.data_gaps:market_structure_state_support_zone_missing,PENDING_ADMISSION_GEOMETRY_PROVENANCE
EX_EN_1782740830,2026-06-29T13:47:00Z,2026-06-29T13:47:51.794712+00:00,short,SUPPORT,UNRECORDED,gpt-5.5,success,240,240,market_monitor_snapshot_v1,tp1_sl,,,partial,SL,/root/volume-alert/data/state/llm_trade_verdicts.jsonl#EX_EN_1782740830,/root/volume-alert/data/state/trade_execution_snapshots.jsonl#EX_EN_1782740830,0f19a67e70725614d1ad8403f79711010c87f1a30bad35a6da2c124acbdbc897,782cc2ed494c66103c26c138695edd81531bfda8b48a6a84be878b6f80afc627,READY,1440,240,-0.0438489734,-899.23,0.114334,0.079354,true,true,true,true,false,INPUT_RECONSTRUCTABLE_CANONICAL,full_30d_feed_replay,PRE_CALIBRATION_COMMIT_DEPLOY_UNVERIFIED,INCOMPLETE_EXECUTION_GEOMETRY|UPSTREAM_FILTER_PROVENANCE_MISSING|market_state.value.data_gaps:market_structure_state_support_zone_missing|market_structure_state.value.data_gaps:market_structure_state_support_zone_missing,PENDING_ADMISSION_GEOMETRY_PROVENANCE
EX_EN_1784376441,2026-07-18T12:07:00Z,2026-07-18T12:08:03.587550+00:00,long,UNCLEAR,UNRECORDED,gpt-5.5,success,240,240,market_monitor_snapshot_v1,tp1_tp2_trailing_stop,25.4019108,,partial,SL,/root/volume-alert/data/state/llm_trade_verdicts.jsonl#EX_EN_1784376441,/root/volume-alert/data/state/trade_execution_snapshots.jsonl#EX_EN_1784376441,1abe8b7575b94d268ccf5e4ab995475ea72b5bf4283528d06e8e6dfcf5e8f7ca,08018101dc7602570e5ae4f5660fedf9ad89a5d86baccfc8647408f403ccde71,READY,1440,240,0.1532950274,236.51,0.845,0.89186,true,true,true,true,false,INPUT_RECONSTRUCTABLE_CANONICAL,full_30d_feed_replay,POST_CALIBRATION_COMMIT_DEPLOY_UNVERIFIED,INCOMPLETE_EXECUTION_GEOMETRY|UPSTREAM_FILTER_PROVENANCE_MISSING,PENDING_ADMISSION_GEOMETRY_PROVENANCE
EX_EN_1785025567,2026-07-26T00:26:00Z,2026-07-26T00:26:42.938515+00:00,long,UNCLEAR,UNRECORDED,gpt-5.5,success,27,240,market_monitor_snapshot_v1,tp1_sl,3.0788574,,partial,SL,/root/volume-alert/data/state/llm_trade_verdicts.jsonl#EX_EN_1785025567,/root/volume-alert/data/state/trade_execution_snapshots.jsonl#EX_EN_1785025567,de4538595214580dd4a46050b0b991212ac1e9c961557c3d4d3d75f47d68d37a,a027f61044769c24f1eb1c97bf4387eb8e6fb6adbacbdc0bb922ce3fbf7e8312,READY,1440,240,0.0755809887,34.9,0.923204,0.954854,true,true,true,true,true,INPUT_HISTORICALLY_CORRUPTED,historic_v1_day_scoped_240m_replaced_by_complete_replay,POST_CALIBRATION_COMMIT_DEPLOY_UNVERIFIED,INCOMPLETE_EXECUTION_GEOMETRY|UPSTREAM_FILTER_PROVENANCE_MISSING,PENDING_ADMISSION_GEOMETRY_PROVENANCE
EX_EN_1785961338,2026-08-05T20:22:00Z,2026-08-05T20:23:02.469833+00:00,long,REJECT,UNRECORDED,gpt-5.5,success,240,240,market_monitor_snapshot_v1,plain_sl,-20.9647964,,partial,SL,/root/volume-alert/data/state/llm_trade_verdicts.jsonl#EX_EN_1785961338,/root/volume-alert/data/state/trade_execution_snapshots.jsonl#EX_EN_1785961338,cb5acb7c40220909738dce6c5d1652a2ffb63a4468dc64931f05f899966355c5,f047c091b1ce81e67a6a999766d70ac0174abe11e008a21a274f195f538cd527,READY,1440,240,0.1450202133,-1477.7,0.727673,0.86814,true,true,true,true,false,INPUT_RECONSTRUCTABLE_CANONICAL,full_30d_feed_replay,POST_CALIBRATION_COMMIT_DEPLOY_UNVERIFIED,INCOMPLETE_EXECUTION_GEOMETRY|UPSTREAM_FILTER_PROVENANCE_MISSING,PENDING_ADMISSION_GEOMETRY_PROVENANCE
EX_EN_1786107369,2026-08-07T12:56:00Z,2026-08-07T12:56:52.146300+00:00,long,REJECT,UNRECORDED,gpt-5.5,success,240,240,market_monitor_snapshot_v1,plain_sl,-23.6510960,,partial,SL,/root/volume-alert/data/state/llm_trade_verdicts.jsonl#EX_EN_1786107369,/root/volume-alert/data/state/trade_execution_snapshots.jsonl#EX_EN_1786107369,2f2cce017b064a30691eff46a14bc57ccec558d376cde9a7a83922679f05977d,2d3a14d025e5b820010b0d3c0cb58fe8c72df092c065d276af7f067409ee7686,READY,1440,240,0.1191749677,1562.97,0.874752,0.937546,true,true,true,true,false,INPUT_RECONSTRUCTABLE_CANONICAL,full_30d_feed_replay,POST_CALIBRATION_COMMIT_DEPLOY_UNVERIFIED,INCOMPLETE_EXECUTION_GEOMETRY|UPSTREAM_FILTER_PROVENANCE_MISSING|market_state.value.data_gaps:market_structure_state_resistance_zone_missing|market_structure_state.value.data_gaps:market_structure_state_resistance_zone_missing,PENDING_ADMISSION_GEOMETRY_PROVENANCE
EX_EN_1786131443,2026-08-07T19:37:00Z,2026-08-07T19:38:04.835587+00:00,long,REJECT,UNRECORDED,gpt-5.5,success,240,240,market_monitor_snapshot_v1,plain_sl,-22.6186830,,partial,SL,/root/volume-alert/data/state/llm_trade_verdicts.jsonl#EX_EN_1786131443,/root/volume-alert/data/state/trade_execution_snapshots.jsonl#EX_EN_1786131443,91228dfc5b8ef047e47d8eb47609fc2a9d06d2e89407c3a4ba0fd8a01e98d28c,b91e6f9ec7769d941fa972f7124160bc58c3b742d1421e4184c1494e5be27d48,READY,1440,240,0.014405866,-773.18,0.945507,0.877143,true,true,true,true,false,INPUT_RECONSTRUCTABLE_CANONICAL,full_30d_feed_replay,POST_CALIBRATION_COMMIT_DEPLOY_UNVERIFIED,INCOMPLETE_EXECUTION_GEOMETRY|UPSTREAM_FILTER_PROVENANCE_MISSING,PENDING_ADMISSION_GEOMETRY_PROVENANCE
EX_EN_1787063409,2026-08-18T14:30:00Z,2026-08-18T14:30:50.829209+00:00,long,REJECT,UNRECORDED,gpt-5.5,success,240,240,market_monitor_snapshot_v1,tp1_tp2_trailing_stop,110.3239845,,partial,SL,/root/volume-alert/data/state/llm_trade_verdicts.jsonl#EX_EN_1787063409,/root/volume-alert/data/state/trade_execution_snapshots.jsonl#EX_EN_1787063409,e81b469486a63f088686aab6f111cba02c9d10473329574883a6c98f5469d855,c3eb586d12b7818d939f51eed38a77523b75ac54e1f98f3c1b0d40afab2e444e,READY,1440,240,0.1114661935,-725.78,0.962869,0.962869,true,true,true,true,false,INPUT_RECONSTRUCTABLE_CANONICAL,full_30d_feed_replay,POST_CALIBRATION_COMMIT_DEPLOY_UNVERIFIED,INCOMPLETE_EXECUTION_GEOMETRY|UPSTREAM_FILTER_PROVENANCE_MISSING|market_state.value.data_gaps:market_structure_state_resistance_zone_missing|market_structure_state.value.data_gaps:market_structure_state_resistance_zone_missing,PENDING_ADMISSION_GEOMETRY_PROVENANCE
EX_EN_1788166698,2026-08-31T08:58:00Z,2026-08-31T08:59:56.556435+00:00,long,REJECT,UNRECORDED,gpt-5.5,success,240,240,market_monitor_snapshot_v1,plain_sl,-23.4403422,,partial,SL,/root/volume-alert/data/state/llm_trade_verdicts.jsonl#EX_EN_1788166698,/root/volume-alert/data/state/trade_execution_snapshots.jsonl#EX_EN_1788166698,ee50c885fe350aeaf07c6c7accf9125619ef74cc7c7b11c497c4ffb3c5e8ce92,7a2e5d2390ce1f781a112bb02499d8c90bf03adb83e26bd5cbf1ab5d1cda35f4,READY,1440,240,0.0519556835,-216.76,0.962362,0.980265,true,true,true,true,false,INPUT_RECONSTRUCTABLE_CANONICAL,full_30d_feed_replay,POST_CALIBRATION_COMMIT_DEPLOY_UNVERIFIED,INCOMPLETE_EXECUTION_GEOMETRY|UPSTREAM_FILTER_PROVENANCE_MISSING,PENDING_ADMISSION_GEOMETRY_PROVENANCE
EX_EN_1789351940,2026-09-14T02:12:00Z,2026-09-14T02:14:27.557955+00:00,long,UNCLEAR,LLM_ENTRY_PROMPT_V2,gpt-5.5,success,133,240,market_monitor_snapshot_v1,tp1_tp2_trailing_stop,50.3397454,,partial,SL,/root/volume-alert/data/state/llm_trade_verdicts.jsonl#EX_EN_1789351940,/root/volume-alert/data/state/trade_execution_snapshots.jsonl#EX_EN_1789351940,0ef47eb2215816a0b06e9526a114623a58372ffd6f672db5651386e366a1157c,7e45be8b5fda9c213f0c4f772eb1622fdef3c02509d50b4e4c4e9480a8870f62,READY,1440,240,-0.032165767,324.39,1.0,1.0,true,true,true,true,true,INPUT_HISTORICALLY_CORRUPTED,historic_v1_day_scoped_240m_replaced_by_complete_replay,V2_RECORDED,INCOMPLETE_EXECUTION_GEOMETRY|UPSTREAM_FILTER_PROVENANCE_MISSING,PENDING_ADMISSION_GEOMETRY_PROVENANCE
