trade_key,snapshot_sha256,prompt_sha256,prediction_cutoff_utc,prediction_cutoff_source
EX_EN_1778689753,d0a55fd314bb281b87afee51dd66fc43b37a04ad166207c1a6e24398b0e1ae80,ce018d110ca98c10558b0ba887758f2c8878e60b52e9c12f2ef62cae9100a3c9,2026-05-13T16:29:19.998326Z,historical_executor_fill_proxy
EX_EN_1779438963,623f6813ea3de6a9cab3610f739b9b65549666d61dccd0d138dba8417c973ce3,239574dedecec4212c073e5ef29819c20122f58d60c59264ad396a6089b6b5bb,2026-05-22T08:36:11.176169Z,historical_executor_fill_proxy
EX_EN_1779805524,b8f3d1fc7e769bdecd5c954acf0e81c2c2e49752e00c7aadb2142606cadcf7ef,fdc80af3f647a4e73231b9d2f6b58772c89aa90f1579c0ef9f6e97643d550598,2026-05-26T14:27:02.546187Z,historical_executor_fill_proxy
EX_EN_1779900918,a06aa5ad0464aba61f9353645e69213bd6458a9d7575c31f5da32bd63f76e728,3cf4ad074f6fc9bf12d8681ba2039386ae905dc3c87c09db2df1067f5e1deb8e,2026-05-27T16:56:56.128756Z,historical_executor_fill_proxy
EX_EN_1780067415,b3993b7ff2431f05e53bfc2a965b1c31bdee8e4111c3a6d570a7e585522a6b24,2d286e0e6f3a0aa8ed8c5e5c2672b3915734901bfeb348407c569ed5e05caadd,2026-05-29T15:11:53.311570Z,historical_executor_fill_proxy
EX_EN_1781057890,9f80159d722d2f0c96bcb320539decc8a1123bd7373bfdbdf45d632c27067483,2953a8ee6d747a304906d0657b4792ff2415ff7ca02258c71cbd01c42aa36e2b,2026-06-10T02:18:17.475712Z,historical_executor_fill_proxy
EX_EN_1781221266,c7caab06d333e2bb9b25435e97ec4703ce1b55b1175f6a65d0beb2e41e98328e,47118aac8f153c5a30772977179a7169ffe0782bf9178c21e3fc1f6ab618284a,2026-06-11T23:42:06.493872Z,historical_executor_fill_proxy
EX_EN_1781615351,fef4d1f494b56b8d5e923bc15374b4689d37de091ce96328e89bda34247ee64b,661c4483afc1c6ae880db673450882f7f2323023975edc6d10cc69206db7df23,2026-06-16T13:10:49.524238Z,historical_executor_fill_proxy
EX_EN_1782076213,9867c94268f61f1ce12bbebf6f88d4972777117b50e8a22c3980858f0eec7bc3,b15c17ceb07bed8395a4afbfbdebe171e39ce0fa8e568698e134eef15e078295,2026-06-21T21:10:20.358432Z,historical_executor_fill_proxy
EX_EN_1782306796,c6e3d2fe043f88c9ead2d2a2c58f06795796d233a7c7592072db7a04d081bd3c,be04d66a4a16067f80fc5655b8f175234ce3a51cac2dc61bc1a7779fd650209e,2026-06-24T13:13:34.281648Z,historical_executor_fill_proxy
EX_EN_1782477849,c621a2200b62e4c547224a891f00d05795f6e95f3d0c67f0577568049e48fd17,e199eaff4a392182ca5f56485d35a0e8e6261eb481a218fad2e185ab4ff7b456,2026-06-26T12:44:16.427082Z,historical_executor_fill_proxy
EX_EN_1782740830,11ebfa17e344f1319e78706cefeeb94317f108b022e19e279f0350d9b2cb44d3,df877a3c9f9bd78187d6aa5736361881b078205891f1fcb6d4e76c3138634f79,2026-06-29T13:47:18.261588Z,historical_executor_fill_proxy
EX_EN_1784376441,784910818928f00bd473496fce49c396ac1dd656e2c8cfaff6aec21b4858b741,71584b9eea652ef8314ea6ebc30f414cbe0066d23a0fe4f26d9c8e10beca19ee,2026-07-18T12:07:29.415366Z,historical_executor_fill_proxy
EX_EN_1785025567,8dba0a48015618d0f5cd19105242ac2ad021e8f56e31764046473731252811f1,6ffc71c9dffbaa2dc5477088acf252135816bcf1c588eff4a0c8f4372286472e,2026-07-26T00:26:15.315915Z,historical_executor_fill_proxy
EX_EN_1785961338,ff021ff57242b9caf547e157e169f988c41b98f34f7b195c25808b3639da80b1,79c555904ff2d1272e428d72c971212bebe024972e869dc98e981dad5c72f5b3,2026-08-05T20:22:26.160485Z,historical_executor_fill_proxy
EX_EN_1786107369,bf0520f7db018a3c633c55963a1b20d3dc59f86208a754df737590abe88deaa3,5d0a2daf7e5b09403dd51e8482da5df12e2e80eab22af18a89d1cc4cdfe7fe35,2026-08-07T12:56:17.311631Z,historical_executor_fill_proxy
EX_EN_1786131443,81ee54dcc3fc4cb41bb6b43a0c02b709277822e331a8d3018c93924949d0f5ac,dcff2c3a1f2234cc9fbb832efab390d546b02a92625a270cac6ecdc877b76152,2026-08-07T19:37:31.340568Z,historical_executor_fill_proxy
EX_EN_1787063409,9619c3a509db4f755fe1c125fb8ee44861fffbedd3532b84687cd066a63e4575,b6daa118d00cad29c6783cd6e54d9dfe6659c313df355a2d83fa2dd883342320,2026-08-18T14:30:16.967866Z,historical_executor_fill_proxy
EX_EN_1788166698,1ba6c3245462662af46712a5805c1e8543d0612c798d8596e687ea0e281d2ecf,798844b4815615e99a604ff6f35f3bee56c61449dc57b0b52b489b08357aff1d,2026-08-31T08:59:28.724320Z,historical_executor_fill_proxy
EX_EN_1789351940,70ecda8b51fa8c4eb4c388b5430c9ee2ac7fad0915213fc6c79612cfd4788e3f,b6b47f14fc2b7164b57ecd785e4855a762db7de0037a33705370eea1553440c8,2026-09-14T02:13:54.228142Z,historical_executor_fill_proxy
