trade_key,snapshot_sha256,prompt_sha256,prediction_cutoff_utc,prediction_cutoff_source
EX_EN_1778689753,c5630e72ad5cdddd76a2d6bf281a0965294ca47babc7df0d85814151f7ede6ce,bd4e56bbb9fcb80e901010c5e3ff43be8f42d465c965a1ca77436b58efe13b61,2026-05-13T16:29:19.998326Z,historical_executor_fill_proxy
EX_EN_1779438963,2a8c341c5d8c18ddaa7c0dde795318e5bad28f82929758acee8b0f1021a51fe9,e7f2c9ec842430adc698dcf99920bd832ec7c44db362708717c265eb64a0e037,2026-05-22T08:36:11.176169Z,historical_executor_fill_proxy
EX_EN_1779805524,4087ac8108e4f5f52d0004673b06de51db050225b083c1a62c2747507a32d67c,19a0b2f8787b884d86a18457d82625a23bc902d34a4dd8ad6b14582a822b232d,2026-05-26T14:27:02.546187Z,historical_executor_fill_proxy
EX_EN_1779900918,45ca81be1e14917260f93cb2b3b5ba1b54727500d3cff56177b59d2dacb4ff37,965d1d073b7477dd25ddaa0d8f7391d605a1471f5fda5499cbe56e16bf47c8aa,2026-05-27T16:56:56.128756Z,historical_executor_fill_proxy
EX_EN_1780067415,df6e604aa2a64255812aa754e62d546de6f504d6793104d96a7770f41c67a7ec,4ace26a7ea1e2021fc0a99e4e074d5bdf7d4bc79860fa9e2a88b50b4f4901ad4,2026-05-29T15:11:53.311570Z,historical_executor_fill_proxy
EX_EN_1781057890,519ffb4d7c11f803a415fa511fabd76ab6d92294419196e87a3634caca73e621,cd9e435500cd8774b6a37af6726904874151470fb2f6ebbc5a2a4551feb6962d,2026-06-10T02:18:17.475712Z,historical_executor_fill_proxy
EX_EN_1781221266,0891c447c63ddf19ef55df21b85b231df90edb995e5d9415542e610e6587eefc,884f7ae317f72b14cf57edbf6872a357536bf34cf27ee43c30d4f06b8dacfeb3,2026-06-11T23:42:06.493872Z,historical_executor_fill_proxy
EX_EN_1781615351,34a4df99f2acb5fb5a87efbfa0d18f41eec4600299b5ff19113c212a76086249,689c911d130b82527c63575fda08fde9c7a37baba79519d7072600e12ceb551c,2026-06-16T13:10:49.524238Z,historical_executor_fill_proxy
EX_EN_1782076213,a563bce1191f224a049c1607adebad38073ebccf6b5ec76d000c1aa32a11b73d,e7cf9fdf98a206141af2d55e9e5dbd74840e621ab2474e9c14581dc05ab199f2,2026-06-21T21:10:20.358432Z,historical_executor_fill_proxy
EX_EN_1782306796,0d435be5d591f6660242163cefcd130a66994e72b4da2f86c187800904018faf,73867ec5fa004a370ad52f092eb60f49e70ed422b8bc54966c866f0bd4a4bee0,2026-06-24T13:13:34.281648Z,historical_executor_fill_proxy
EX_EN_1782477849,d06d915b3f69e857802481f3ed4f732eceb58c2124de136c0a17dc848adbd6b0,ce9491e04c0743572c13306f3b3a2c656e284c8e09b87a5f51e2f0182758dbf4,2026-06-26T12:44:16.427082Z,historical_executor_fill_proxy
EX_EN_1782740830,77988b0c5156837ea7c6772aba3dc8b8141fc37ae9f6b521add58f38016bcff7,254ee45db2f620950480d411cfab16cda026944cb50483699c9d62cd762a5fa3,2026-06-29T13:47:18.261588Z,historical_executor_fill_proxy
EX_EN_1784376441,f44e55a632c3627b316728a0648a1908d267e38f0c33bc28112f65d5b69dd251,f5b00821f6b69f47474084a7963a604ec21788fd75260e0dd4b2f4a207d34142,2026-07-18T12:07:29.415366Z,historical_executor_fill_proxy
EX_EN_1785025567,b38fa79ad21bf3ec57d967af5594dd77993e6a46a6cdd6677b21385bbb439df4,667b003f3eb45461d96d6e92a62d0e08d498c934edd9997be4fabee8975c9bed,2026-07-26T00:26:15.315915Z,historical_executor_fill_proxy
EX_EN_1785961338,cd2991c7294c5c4b9aafc145fdf9cb89031ad89073a604521adc595bd43cb4d0,58f0ed3684e665a4eaf6a21a17587a431541a98c60c1e066b0d45174fa50e533,2026-08-05T20:22:26.160485Z,historical_executor_fill_proxy
EX_EN_1786107369,24aac4c1dc123f301439ad6091ffc97ae5da0b405b839efbef9a1bb710c9b7c8,01dd60229e7186d378cf5116fae5297fe14270c94771f30f4abc500442755689,2026-08-07T12:56:17.311631Z,historical_executor_fill_proxy
EX_EN_1786131443,6174332f489b7cdc4c3fc8f827b268745845a2905b8b428d7fd91c5d57781491,21d628eff4735ffaedbc28050dc7fa9dc9e01496a32b54cd4363881fc5a2d551,2026-08-07T19:37:31.340568Z,historical_executor_fill_proxy
EX_EN_1787063409,ad3188e8421f7fcb173ec056f6df73702539b6594400db43a5ed7f04a75f2cc1,c05c9122f19a677a4b9f58b792640b4ce613a903e16eb6e8991eaa969fdf10db,2026-08-18T14:30:16.967866Z,historical_executor_fill_proxy
EX_EN_1788166698,170b1bd2ea0908ae5c8f32e156e6f4806941412e266cc8faafcd648bf290f8a9,b7e051d38c0d6edf992efb5eb79dc437506aa52cf99878cb5281cd3667ec885b,2026-08-31T08:59:28.724320Z,historical_executor_fill_proxy
EX_EN_1789351940,4162a17f06278dbd3871495b3ebf00915fdbf103aaf1e7ed05e3195843087cab,d1b6f5cd85af37655793f2842a279681dc55df9750e0072763064b61ba6b0023,2026-09-14T02:13:54.228142Z,historical_executor_fill_proxy
