trade_key,true_lifecycle,target_A,target_B,signal_price,signal_delta,signal_volume,signal_imbalance,signal_vwap,signal_poc,signal_strength,directional_signal_delta,analysis_only_directional_signal_price_minus_vwap_pct,analysis_only_directional_signal_price_minus_poc_pct,actual_entry_price,filled_quantity,initial_sl,initial_tp1,initial_tp2,entry_to_sl_risk,tp1_reward,tp1_R,tp2_reward,tp2_R,entry_minus_signal_distance_approx,entry_minus_signal_pct_approx,signal_to_fill_elapsed_seconds,quote_conversion_at_entry_approx,analysis_only_risk_pct,seg_1440_240_price_open,seg_1440_240_price_close,seg_1440_240_high,seg_1440_240_low,seg_1440_240_price_change_pct,seg_1440_240_delta,seg_1440_240_delta_pct,seg_1440_240_total_qty,seg_1440_240_open_interest_change,seg_1440_240_rows_expected,seg_1440_240_rows_used,seg_1440_240_directional_price_change_pct,seg_1440_240_directional_delta,seg_1440_240_directional_delta_pct,seg_240_60_price_open,seg_240_60_price_close,seg_240_60_high,seg_240_60_low,seg_240_60_price_change_pct,seg_240_60_delta,seg_240_60_delta_pct,seg_240_60_total_qty,seg_240_60_open_interest_change,seg_240_60_rows_expected,seg_240_60_rows_used,seg_240_60_directional_price_change_pct,seg_240_60_directional_delta,seg_240_60_directional_delta_pct,seg_60_15_price_open,seg_60_15_price_close,seg_60_15_high,seg_60_15_low,seg_60_15_price_change_pct,seg_60_15_delta,seg_60_15_delta_pct,seg_60_15_total_qty,seg_60_15_open_interest_change,seg_60_15_rows_expected,seg_60_15_rows_used,seg_60_15_directional_price_change_pct,seg_60_15_directional_delta,seg_60_15_directional_delta_pct,seg_15_5_price_open,seg_15_5_price_close,seg_15_5_high,seg_15_5_low,seg_15_5_price_change_pct,seg_15_5_delta,seg_15_5_delta_pct,seg_15_5_total_qty,seg_15_5_open_interest_change,seg_15_5_rows_expected,seg_15_5_rows_used,seg_15_5_directional_price_change_pct,seg_15_5_directional_delta,seg_15_5_directional_delta_pct,seg_5_0_price_open,seg_5_0_price_close,seg_5_0_high,seg_5_0_low,seg_5_0_price_change_pct,seg_5_0_delta,seg_5_0_delta_pct,seg_5_0_total_qty,seg_5_0_open_interest_change,seg_5_0_rows_expected,seg_5_0_rows_used,seg_5_0_directional_price_change_pct,seg_5_0_directional_delta,seg_5_0_directional_delta_pct,broad_1d_price_change_pct,broad_1d_delta_pct,broad_1d_rows_expected,broad_1d_rows_used,broad_1d_directional_price_change_pct,broad_1d_directional_delta_pct,broad_3d_price_change_pct,broad_3d_delta_pct,broad_3d_rows_expected,broad_3d_rows_used,broad_3d_directional_price_change_pct,broad_3d_directional_delta_pct,broad_7d_price_change_pct,broad_7d_delta_pct,broad_7d_rows_expected,broad_7d_rows_used,broad_7d_directional_price_change_pct,broad_7d_directional_delta_pct,current_price_market_quote,range_240m_high,range_240m_low,range_240m_position_in_range,range_240m_distance_to_high,range_240m_distance_to_low,range_240m_directional_position_in_range,range_240m_distance_to_directional_extreme,analysis_only_tp1_beyond_240m_directional_extreme_market_quote_approx,analysis_only_tp2_beyond_240m_directional_extreme_market_quote_approx,range_1440m_high,range_1440m_low,range_1440m_position_in_range,range_1440m_distance_to_high,range_1440m_distance_to_low,range_1440m_directional_position_in_range,range_1440m_distance_to_directional_extreme,analysis_only_tp1_beyond_1440m_directional_extreme_market_quote_approx,analysis_only_tp2_beyond_1440m_directional_extreme_market_quote_approx,opposing_zone_lower,opposing_zone_upper,opposing_zone_distance_from_current_price_market_quote,opposing_zone_interaction_count,opposing_zone_minutes_since_last_interaction,opposing_zone_resweep_count,opposing_zone_failed_acceptance_count,opposing_zone_close_above_count,opposing_zone_close_below_count,matched_registry_interaction_count,matched_registry_resweep_count,matched_registry_failed_acceptance_count,matched_registry_close_above_count,matched_registry_close_below_count,directional_liquidity_distance_from_current_price,directional_liquidity_lower,directional_liquidity_upper,target_geometry_distance_from_actual_entry_R_approx,target_geometry_distance_from_actual_entry_execution_quote_approx,target_geometry_near_boundary_market_quote,quality_missing_evidence_count,quality_incomplete_segments_count,quality_incomplete_broad_context_count,diagnostic_recent_minus_prior_directional_delta_pct,diagnostic_recent_minus_prior_directional_price_change_pct_per_minute,category_signal_side,category_seg_1440_240_complete,category_seg_1440_240_source_quality,category_seg_240_60_complete,category_seg_240_60_source_quality,category_seg_60_15_complete,category_seg_60_15_source_quality,category_seg_15_5_complete,category_seg_15_5_source_quality,category_seg_5_0_complete,category_seg_5_0_source_quality,category_broad_1d_complete,category_broad_1d_source_quality,category_broad_3d_complete,category_broad_3d_source_quality,category_broad_7d_complete,category_broad_7d_source_quality,category_opposing_zone_present,category_opposing_zone_price_position,category_opposing_zone_qualification,category_opposing_zone_status,category_opposing_zone_consumption_status,category_opposing_zone_first_sweep_present,category_opposing_zone_already_interacted,category_opposing_zone_accepted_beyond_in_direction,category_matched_registry_lifecycle_present,category_matched_registry_accepted_beyond_in_direction,category_matched_registry_first_sweep_present,category_recent_cleared_structure_present,category_directional_liquidity_present,category_directional_liquidity_side,category_target_geometry_tp1_relation,category_target_geometry_tp2_relation,category_quality_open_interest_available,category_quality_zone_history_available,category_quality_degraded_or_recovered_feed,category_quality_open_price_close_fallback,category_quality_conversion_available,category_quality_historical_prediction_cutoff_proxy,category_quality_chronology_anomaly,category_quality_prediction_cutoff_source
EX_EN_1778689753,STRONG_FAVORABLE,TP1_REACHED,STRONG_FAVORABLE,79050.0,,,,,,,,,,79021.97,0.00113,78872.23,79188.37,79346.44,149.74,166.4,1.1112595165,324.47,2.1668892747,-7.8379961256,-0.0099177719,8.998326,0.9997445666809058,0.1894916059419931,80291.1,80306.9,81270.2,79801.0,0.0196783952,-548.727,-0.0073011981,75155.747,-286.74,1200.0,1200.0,0.0196783952,-548.727,-0.0073011981,80306.9,79260.4,80324.1,79202.8,-1.3031258833,729.28,0.0175757674,41493.494,-416.39,180.0,180.0,-1.3031258833,729.28,0.0175757674,79260.4,78837.7,79316.4,78713.8,-0.5333054085,-2167.633,-0.1219826207,17770.015,413.78,45.0,45.0,-0.5333054085,-2167.633,-0.1219826207,78837.7,78957.6,78957.7,78820.9,0.1520845991,348.422,0.1918602218,1816.02,74.27,10.0,10.0,0.1520845991,348.422,0.1918602218,78957.7,78997.7,79037.6,78928.0,0.050660037,180.12,0.1451770464,1240.692,-0.64,5.0,5.0,0.050660037,180.12,0.1451770464,-1.6108883799,-0.0106094034,1440.0,1440.0,-1.6108883799,-0.0106094034,-2.7594950732,-0.0124706974,4320.0,4320.0,-2.7594950732,-0.0124706974,1.3135231842,-0.0065153003,10080.0,10029.0,1.3135231842,-0.0065153003,78997.7,80324.1,78713.8,0.1763025523,1326.4,283.9,0.1763025523,1326.4,-1115.4974837584741,-957.3870970976277,81270.2,78713.8,0.111054608,2272.5,283.9,0.111054608,2272.5,-2061.5974837584654,-1903.487097097619,78060.0,80478.0,0.0,4606.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,27.0,0.0,794.7838,79792.4838,79907.934,-6.5574270395,-981.9091248885,78060.0,1.0,0.0,1.0,-0.0466831754,-0.005076452509999999,LONG,YES,RAW,YES,RAW,YES,RAW,YES,RAW,YES,RAW,YES,RAW,YES,RAW,NO,RECOVERED_DEGRADED,YES,INSIDE,SIGNIFICANT,SIGNIFICANT,MISSING,NO,YES,NO,YES,YES,NO,NO,YES,BUY_SIDE,INSIDE,INSIDE,YES,YES,NO,NO,YES,YES,MISSING,historical_executor_fill_proxy
EX_EN_1779438963,STRONG_FAVORABLE,TP1_REACHED,STRONG_FAVORABLE,77261.554158,-49.11,73.65,0.667,77473.0,77460.0,,49.11,0.27292842925922706,0.2561913787761438,77215.81,0.0518,77616.03,76798.72,76390.06,400.22,417.09,1.0421518165,825.75,2.0632402179,7.9503094531,0.0102972799,11.176169,0.999305029933215,0.5183135422655024,77923.0,77717.3,78063.8,76696.7,-0.2639785429,-2411.562,-0.0263170186,91635.076,-554.66,1200.0,1200.0,0.2639785429,2411.562,0.0263170186,77717.2,77424.9,77724.8,77237.1,-0.3761072195,-770.269,-0.0759967264,10135.555,-215.52,180.0,180.0,0.3761072195,770.269,0.0759967264,77425.0,77483.5,77505.7,77324.1,0.0755569906,66.57,0.0373087485,1784.3,-64.69,45.0,45.0,-0.0755569906,-66.57,-0.0373087485,77483.4,77462.7,77484.0,77405.7,-0.0267153997,55.713,0.2406349206,231.525,14.82,10.0,10.0,0.0267153997,-55.713,-0.2406349206,77462.7,77254.7,77462.8,77170.0,-0.2685163311,-271.489,-0.4638181554,585.335,-72.31,5.0,5.0,0.2685163311,271.489,0.4638181554,-0.8576415179,-0.0319151082,1440.0,1440.0,0.8576415179,0.0319151082,0.2148163618,-0.0132235,4320.0,4320.0,-0.2148163618,0.0132235,-4.0838547874,-0.0223692511,10080.0,10079.0,4.0838547874,0.0223692511,77254.7,77724.8,77170.0,0.152667628,470.1,84.7,0.847332372,84.7,317.8700701300695,726.8142741108313,78063.8,76696.7,0.4081632653,809.1,558.0,0.5918367347,558.0,-155.4299298699334,253.5142741108284,76014.2,78648.0,0.0,29806.0,0.0,0.0,0.0,0.0,0.0,167.0,12.0,8.0,791.0,64.0,246.215,76931.515,77008.485,-3.4419369202,-1377.5319941875,78648.0,0.0,0.0,1.0,0.704453076,0.051031726250000006,SHORT,YES,RAW,YES,RAW,YES,RAW,YES,RAW,YES,RAW,YES,RAW,YES,RAW,NO,RAW,YES,INSIDE,SIGNIFICANT,SIGNIFICANT,MISSING,NO,YES,NO,YES,YES,YES,NO,YES,SELL_SIDE,INSIDE,INSIDE,YES,YES,NO,NO,YES,YES,MISSING,historical_executor_fill_proxy
EX_EN_1779805524,NEGATIVE,NEGATIVE,NOT_APPLICABLE,77810.426155,49.84,88.07,0.566,77117.0,76770.0,,49.84,0.8991871506930946,1.3552509508922674,77994.12,0.05143,76646.05,78882.55,80000.8,1348.07,888.43,0.6590384772,2006.68,1.4885577158,230.3051796948,0.2961598273,122.546187,0.9994009628657999,1.7284251684614174,77550.4,76979.1,77887.9,76434.0,-0.7366822092,-1429.486,-0.0222547088,64232.968,-438.12,1200.0,1200.0,-0.7366822092,-1429.486,-0.0222547088,76979.1,76789.4,77600.0,76742.1,-0.2464305246,-858.114,-0.0365581177,23472.598,-479.53,180.0,180.0,-0.2464305246,-858.114,-0.0365581177,76789.4,77238.4,77432.6,76641.7,0.5847161197,-74.729,-0.0085269709,8763.839,-22.64,45.0,45.0,0.5847161197,-74.729,-0.0085269709,77238.4,77622.8,77696.3,77238.4,0.4976799105,1199.022,0.2642633469,4537.224,-744.64,10.0,10.0,0.4976799105,1199.022,0.2642633469,77622.7,77989.3,78077.1,77578.4,0.472284525,1270.423,0.2236553502,5680.271,-456.3,5.0,5.0,0.472284525,1270.423,0.2236553502,0.5659545276,0.001004022,1440.0,1440.0,0.5659545276,0.001004022,3.640128053,0.0377231899,4320.0,4320.0,3.640128053,0.0377231899,2.0801019894,0.0056038621,10080.0,10080.0,2.0801019894,0.0056038621,77989.3,78077.1,76641.7,0.9388323812,87.8,1347.6,0.9388323812,87.8,852.731900304454,1971.6521750992542,78077.1,76434.0,0.9465644209,87.8,1555.3,0.9465644209,87.8,852.731900304454,1971.6521750992542,76014.2,78564.3,0.0,13273.0,0.0,0.0,0.0,0.0,0.0,156.0,11.0,8.0,90.0,905.0,,,,-1.5024852779,-2025.4553285265,76014.2,0.0,0.0,0.0,-0.04060799669999998,0.044688913950000006,LONG,YES,RAW,YES,RAW,YES,RAW,YES,RAW,YES,RAW,YES,RAW,YES,RAW,YES,RAW,YES,INSIDE,SIGNIFICANT,SIGNIFICANT,MISSING,NO,YES,NO,YES,YES,YES,NO,NO,MISSING,BEYOND,BEYOND,YES,YES,NO,NO,YES,YES,MISSING,historical_executor_fill_proxy
EX_EN_1780067415,NEGATIVE,NEGATIVE,NOT_APPLICABLE,73631.964387,88.48,140.51,0.63,73392.0,73590.0,,88.48,0.3269625940156965,0.05702457806767222,73655.71,0.05438,72426.73,74665.02,75784.16,1228.98,1009.31,0.8212582792,2128.45,1.7318833504,110.3273443274,0.1500126049,113.31157,0.9988241284604016,1.6685468105595613,72956.9,73604.3,73932.2,72662.2,0.8873732299,271.801,0.0034891282,77899.403,-1288.28,1200.0,1200.0,0.8873732299,271.801,0.0034891282,73604.2,72926.5,73662.3,72861.3,-0.9207355015,-1377.9,-0.0722706614,19065.828,123.12,180.0,180.0,-0.9207355015,-1377.9,-0.0722706614,72926.5,72943.2,73099.8,72436.0,0.0228997689,-997.996,-0.0683784459,14595.184,647.08,45.0,45.0,0.0228997689,-997.996,-0.0683784459,72943.3,73289.9,73366.4,72929.0,0.475163586,1050.047,0.3038684777,3455.597,445.87,10.0,10.0,0.475163586,1050.047,0.3038684777,73290.0,73658.4,73722.5,73276.4,0.5026606631,1168.184,0.2840281688,4112.916,-216.17,5.0,5.0,0.5026606631,1168.184,0.2840281688,0.9615266,0.000958088,1440.0,1440.0,0.9615266,0.000958088,-4.128199755,-0.0233895694,4320.0,4320.0,-4.128199755,-0.0233895694,-4.1475373997,-0.0071050069,10080.0,10080.0,-4.1475373997,-0.0071050069,73658.4,73722.5,72436.0,0.9501748931,64.1,1222.4,0.9501748931,64.1,1030.419830931074,2150.8773450332374,73932.2,72436.0,0.8170030745,273.8,1222.4,0.8170030745,273.8,820.719830931077,1941.1773450332403,72436.0,74565.3,0.0,2300.0,0.0,0.0,0.0,0.0,0.0,53.0,2.0,2.0,6.0,201.0,102.00135,73760.40135,73880.922,-1.0617629504,-1304.8854308424,72436.0,0.0,0.0,0.0,-0.019840308899999992,0.05301577402,LONG,YES,RAW,YES,RAW,YES,RAW,YES,RAW,YES,RAW,YES,RAW,YES,RAW,YES,RAW,YES,INSIDE,SIGNIFICANT,SIGNIFICANT,MISSING,NO,YES,NO,YES,YES,YES,NO,YES,BUY_SIDE,BEYOND,BEYOND,YES,YES,NO,NO,YES,YES,MISSING,historical_executor_fill_proxy
EX_EN_1781057890,MIXED,TP1_REACHED,MIXED,61396.309936,-33.99,52.72,0.645,62198.0,62790.0,,33.99,1.2889322229010614,2.219605134575573,61402.05,0.04888,61948.82,60790.93,60211.99,546.77,611.12,1.1176911681,1190.06,2.1765276076,31.6766745547,0.0516155807,17.475712,0.9995775542441919,0.8904751551454715,62658.1,61776.8,63499.9,60755.0,-1.4065220618,-5479.694,-0.0286147655,191498.826,1168.48,1200.0,1200.0,1.4065220618,5479.694,0.0286147655,61776.8,61831.5,61947.4,61404.6,0.0885445669,-368.71,-0.0289362606,12742.144,410.09,180.0,180.0,-0.0885445669,368.71,0.0289362606,61831.6,61781.0,61861.4,61544.2,-0.0818351781,129.37,0.0463255068,2792.63,111.47,45.0,45.0,0.0818351781,-129.37,-0.0463255068,61780.9,61537.2,61781.0,61515.8,-0.3944584815,-405.883,-0.429832857,944.281,249.39,10.0,10.0,0.3944584815,405.883,0.429832857,61537.1,61372.8,61561.1,61305.5,-0.2669934072,-312.627,-0.2621964056,1192.339,-52.47,5.0,5.0,0.2669934072,312.627,0.2621964056,-2.0512910541,-0.03077658,1440.0,1440.0,2.0512910541,0.03077658,0.1594448642,0.0022543539,4320.0,4320.0,-0.1594448642,-0.0022543539,-8.2373310647,-0.0143980207,10080.0,10080.0,8.2373310647,0.0143980207,61372.8,61947.4,61305.5,0.1048449914,574.6,67.3,0.8951550086,67.3,488.8782762702249,1068.0629503776363,63499.9,60755.0,0.2250719516,2127.1,617.8,0.7749280484000001,617.8,-61.62172372977511,517.5629503776363,60708.0,62942.4,0.0,4726.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,47.0,266.36205,61045.36205,61106.43795,-2.768550305,-1513.7602502596,62942.4,0.0,0.0,0.0,-0.1676364514,0.013952833289999994,SHORT,YES,RAW,YES,RAW,YES,RAW,YES,RAW,YES,RAW,YES,RAW,YES,RAW,YES,RECOVERED_DEGRADED,YES,INSIDE,SIGNIFICANT,SIGNIFICANT,MISSING,NO,YES,NO,YES,YES,NO,NO,YES,SELL_SIDE,INSIDE,BEYOND,YES,YES,NO,NO,YES,YES,MISSING,historical_executor_fill_proxy
EX_EN_1781221266,NEGATIVE,NEGATIVE,NOT_APPLICABLE,63667.092603,42.63,64.52,0.661,62855.0,62800.0,,42.63,1.2920095505528555,1.3807207054140085,63619.03,0.04715,63221.74,64016.31,64413.59,397.29,397.28,0.9999748295,794.56,1.9999496589,0.4906231862,0.0007711953,66.493872,0.9992373889838356,0.6244829573792622,61537.4,63753.8,63915.3,61447.3,3.6017121295,10552.565,0.0608869406,173314.095,10.1,1200.0,1200.0,3.6017121295,10552.565,0.0608869406,63753.7,63477.1,63776.6,63235.8,-0.4338571722,-368.72,-0.0352742392,10452.954,-577.85,180.0,180.0,-0.4338571722,-368.72,-0.0352742392,63477.0,63380.9,63550.0,63328.1,-0.1513934181,-133.543,-0.0868683662,1537.303,-105.57,45.0,45.0,-0.1513934181,-133.543,-0.0868683662,63381.0,63472.2,63497.3,63340.0,0.1438917026,182.059,0.1913125991,951.631,-160.99,10.0,10.0,0.1438917026,182.059,0.1913125991,63472.1,63637.6,63712.3,63443.9,0.2607444846,334.952,0.3351369956,999.448,-149.76,5.0,5.0,0.2607444846,334.952,0.3351369956,3.4128838722,0.0564326116,1440.0,1440.0,3.4128838722,0.0564326116,0.7585677304,0.0067066765,4320.0,4320.0,0.7585677304,0.0067066765,-0.1598694687,-0.0005836903,10080.0,10080.0,-0.1598694687,-0.0005836903,63637.6,63776.6,63235.8,0.7429733728,139.0,401.8,0.7429733728,139.0,288.56680195558147,686.1500032847543,63915.3,61447.3,0.8874797407,277.7,2190.3,0.8874797407,277.7,149.8668019555771,547.45000328475,62066.6,64463.7,0.0,6586.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,139.0,0.0,99.21565,63736.81565,63800.58435,-4.02668749,-1599.7626728959,62066.6,0.0,0.0,0.0,0.14382439649999998,0.03775972666,LONG,YES,RECOVERED_DEGRADED,YES,RECOVERED_DEGRADED,YES,RECOVERED_DEGRADED,YES,RECOVERED_DEGRADED,YES,RECOVERED_DEGRADED,YES,RECOVERED_DEGRADED,YES,RECOVERED_DEGRADED,YES,RECOVERED_DEGRADED,YES,INSIDE,SIGNIFICANT,SIGNIFICANT,MISSING,NO,YES,NO,YES,YES,NO,NO,YES,BUY_SIDE,INSIDE,INSIDE,YES,YES,YES,NO,YES,YES,MISSING,historical_executor_fill_proxy
EX_EN_1781615351,MIXED,TP1_REACHED,MIXED,66233.203168,-60.02,97.7,0.614,66517.0,66540.0,,60.02,0.4266530841739815,0.46107128343854414,66108.68,0.04532,66778.1,65608.23,65023.29,669.42,500.45,0.7475874638,1085.39,1.6213886648,-84.9677848665,-0.1283624452,109.524238,0.9994027861972319,1.0126053038723508,66551.6,66741.2,67255.4,65607.1,0.2848917231,739.856,0.0058594657,126266.802,-649.86,1200.0,1200.0,-0.2848917231,-739.856,-0.0058594657,66741.3,66465.4,66755.5,66325.4,-0.413387213,-708.485,-0.0603762976,11734.489,160.04,180.0,180.0,0.413387213,708.485,0.0603762976,66465.4,66387.9,66787.1,66325.2,-0.1166020215,35.1,0.0062794562,5589.656,110.55,45.0,45.0,0.1166020215,-35.1,-0.0062794562,66388.0,66371.2,66445.5,66336.8,-0.0253057782,61.181,0.0833232325,734.261,21.84,10.0,10.0,0.0253057782,-61.181,-0.0833232325,66371.1,66132.0,66374.6,66120.2,-0.3602471558,-606.16,-0.3286431812,1844.432,-246.68,5.0,5.0,0.3602471558,606.16,0.3286431812,-0.6304882227,-0.0032736483,1440.0,1440.0,0.6304882227,0.0032736483,3.142370534,0.0230544581,4320.0,4320.0,-3.142370534,-0.0230544581,5.5581981108,0.0178692176,10080.0,10080.0,-5.5581981108,-0.0178692176,66132.0,66787.1,66120.2,0.0176938072,655.1,11.8,0.9823061928,11.8,472.76444537044154,1058.0539883641322,67255.4,65607.1,0.3184493114,1123.4,524.9,0.6815506886,524.9,-40.33555462954973,544.953988364141,65791.4,68121.9,0.0,3298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,330.41565,65735.81565,65801.58435,-2.9466353874,-1972.5366610492,68121.9,0.0,0.0,0.0,0.41196641370000003,0.06951885333999999,SHORT,YES,RECOVERED_DEGRADED,YES,RAW,YES,RAW,YES,RAW,YES,RAW,YES,RECOVERED_DEGRADED,YES,RECOVERED_DEGRADED,YES,RECOVERED_DEGRADED,YES,INSIDE,SIGNIFICANT,SIGNIFICANT,MISSING,NO,YES,NO,YES,YES,NO,NO,YES,SELL_SIDE,BEYOND,BEYOND,YES,YES,YES,NO,YES,YES,MISSING,historical_executor_fill_proxy
EX_EN_1782076213,NEGATIVE,NEGATIVE,NOT_APPLICABLE,63617.565713,-52.54,76.88,0.683,64187.0,64260.0,,52.54,0.8871489351426245,0.9997421210706449,63558.45,0.0472,64239.75,62877.15,62195.85,681.3,681.3,1.0,1362.6,2.0,-0.4904037191,-0.0007715732,20.358432,0.9990784729245163,1.0719267068344178,63908.2,64183.8,64568.0,63871.3,0.431243565,-1192.526,-0.0193685827,61570.122,2560.99,1200.0,1200.0,-0.431243565,1192.526,0.0193685827,64183.8,64205.1,64284.9,63907.4,0.0331859441,312.284,0.0619946916,5037.27,-251.37,180.0,180.0,-0.0331859441,-312.284,-0.0619946916,64204.8,63815.0,64204.8,63641.3,-0.6071197169,-454.99,-0.1084098334,4196.944,-127.26,45.0,45.0,0.6071197169,454.99,0.1084098334,63815.0,63796.1,63849.8,63735.1,-0.0296168612,63.11,0.10859129,581.17,47.8,10.0,10.0,0.0296168612,-63.11,-0.10859129,63796.1,63543.0,63810.0,63520.0,-0.3967327156,-312.961,-0.2883192211,1085.467,-11.42,5.0,5.0,0.3967327156,312.961,0.2883192211,-0.5714446659,-0.0218719707,1440.0,1440.0,0.5714446659,0.0218719707,0.7108385041,0.0119408808,4320.0,4320.0,-0.7108385041,-0.0119408808,-0.7016502063,0.0076842759,10080.0,10080.0,0.7016502063,-0.0076842759,63543.0,64284.9,63520.0,0.0300692901,741.9,23.0,0.9699307099,23.0,584.8535585546779,1266.781974053105,64568.0,63520.0,0.0219465649,1025.0,23.0,0.9780534351,23.0,584.8535585546779,1266.781974053105,63121.9,64739.8,0.0,11479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,,,,-1.6463973601,-1121.6905214386,64739.8,0.0,0.0,0.0,0.39691051110000003,0.076384857,SHORT,YES,RAW,YES,RAW,YES,RAW,YES,RAW,YES,RAW,YES,RAW,YES,RAW,YES,RECOVERED_DEGRADED,YES,INSIDE,SIGNIFICANT,SIGNIFICANT,MISSING,NO,YES,NO,YES,YES,NO,NO,NO,MISSING,BEYOND,BEYOND,YES,YES,NO,NO,YES,YES,MISSING,historical_executor_fill_proxy
EX_EN_1782306796,STRONG_FAVORABLE,TP1_REACHED,STRONG_FAVORABLE,62026.569333,-54.59,83.14,0.657,62586.0,62640.0,,54.59,0.8938591170549333,0.9792954454022997,61961.66,0.04841,63173.33,60749.98,59538.31,1211.67,1211.68,1.0000082531,2423.35,2.0000082531,-0.4888698516,-0.0007889814,34.281648,0.9989614053486899,1.9555157173000206,62100.1,62723.0,63090.9,61916.9,1.0030579661,1100.655,0.0116117195,94788.287,-210.85,1200.0,1200.0,-1.0030579661,-1100.655,-0.0116117195,62723.1,62848.7,63209.6,62272.1,0.2002452047,-794.594,-0.0431668895,18407.488,-404.2,180.0,180.0,-0.2002452047,794.594,0.0431668895,62848.7,62581.8,62874.6,62577.2,-0.4246706774,-237.088,-0.0680128402,3485.93,-30.81,45.0,45.0,0.4246706774,237.088,0.0680128402,62581.9,62296.0,62604.0,62181.2,-0.4568413551,-576.404,-0.1687974117,3414.768,-95.74,10.0,10.0,0.4568413551,576.404,0.1687974117,62296.3,61998.5,62300.0,61952.8,-0.4780380215,-739.45,-0.2502133471,2955.278,300.41,5.0,5.0,0.4780380215,739.45,0.2502133471,-0.1636068219,-0.0101329806,1440.0,1440.0,0.1636068219,0.0101329806,-3.2938596354,-0.0039619629,4320.0,4320.0,3.2938596354,0.0039619629,-4.6307505588,-0.0004212499,10080.0,10080.0,4.6307505588,0.0004212499,61998.5,63209.6,61952.8,0.0363621897,1211.1,45.7,0.9636378103,45.7,1139.659797856686,2352.5895401995003,63209.6,61916.9,0.0631236946,1211.1,81.6,0.9368763054,81.6,1103.7597978566846,2316.689540199499,60691.9,62969.0,0.0,10181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1394.0,0.0,50.64155,61885.94155,61947.85845,-0.7773904887,-941.9407334017,62969.0,0.0,0.0,0.0,0.08141593539999997,0.04992346879000001,SHORT,YES,RAW,YES,RAW,YES,RAW,YES,RAW,YES,RAW,YES,RAW,YES,RAW,YES,RAW,YES,INSIDE,SIGNIFICANT,SIGNIFICANT,MISSING,NO,YES,NO,YES,NO,NO,NO,YES,SELL_SIDE,INSIDE,BEYOND,YES,YES,NO,NO,YES,YES,MISSING,historical_executor_fill_proxy
EX_EN_1782477849,NEGATIVE,NEGATIVE,NOT_APPLICABLE,59023.145544,-57.67,91.47,0.63,59597.0,59000.0,,57.67,0.9628915146735589,-0.039229735593218754,59015.24,0.05087,59999.36,57926.76,56890.46,984.12,1088.48,1.1060439784,2124.78,2.1590659676,51.6902338025,0.0876647251,16.427082,0.9989902981745008,1.6675692583813944,61323.3,60181.9,61384.3,58030.0,-1.8612827424,-3489.437,-0.0107583485,324346.901,7325.34,1200.0,1200.0,1.8612827424,3489.437,0.0107583485,60181.9,59378.6,60249.7,59210.4,-1.334786705,-832.859,-0.0298992476,27855.517,-413.69,180.0,180.0,1.334786705,832.859,0.0298992476,59378.6,59650.2,59694.0,59252.6,0.4574038458,75.762,0.0105409085,7187.426,-54.21,45.0,45.0,-0.4574038458,-75.762,-0.0105409085,59650.3,59444.2,59998.4,59392.2,-0.3455137694,342.219,0.0632042557,5414.493,-291.1,10.0,10.0,0.3455137694,-342.219,-0.0632042557,59444.1,58948.7,59444.4,58940.0,-0.8333880065,-1754.066,-0.301611653,5815.644,22.96,5.0,5.0,0.8333880065,1754.066,0.301611653,-3.8722638866,-0.0152673393,1440.0,1440.0,3.8722638866,0.0152673393,-5.3891648544,-0.0230684137,4320.0,4320.0,5.3891648544,0.0230684137,-5.7164746301,-0.0096203556,10080.0,10080.0,5.7164746301,0.0096203556,58948.7,60249.7,58940.0,0.0066427426,1301.0,8.7,0.9933572574,8.7,954.6921287903024,1992.0395403654547,61384.3,58030.0,0.2738872492,2435.6,918.7,0.7261127508,918.7,44.69212879030238,1082.0395403654547,58288.0,60933.0,0.0,3496.0,0.0,0.0,0.0,0.0,0.0,200.0,16.0,13.0,455.0,369.0,84.0824,58805.7824,58864.6176,-1.8861885122,-1856.2358386669,60933.0,0.0,0.0,0.0,0.36481590869999997,0.13212622436,SHORT,YES,RECOVERED_DEGRADED,YES,RAW,YES,RAW,YES,RAW,YES,RAW,YES,RECOVERED_DEGRADED,YES,RECOVERED_DEGRADED,YES,RECOVERED_DEGRADED,YES,INSIDE,SIGNIFICANT,SIGNIFICANT,MISSING,NO,YES,NO,YES,YES,YES,NO,YES,SELL_SIDE,BEYOND,BEYOND,YES,YES,YES,NO,YES,YES,MISSING,historical_executor_fill_proxy
