target,feature,category,group1,group1_count,group1_n,group2,group2_count,group2_n
A,broad_1d_complete,YES,NEGATIVE,9,9,TP1_REACHED,10,10
A,broad_1d_source_quality,RAW,NEGATIVE,7,9,TP1_REACHED,9,10
A,broad_1d_source_quality,RECOVERED_DEGRADED,NEGATIVE,2,9,TP1_REACHED,1,10
A,broad_3d_complete,YES,NEGATIVE,9,9,TP1_REACHED,10,10
A,broad_3d_source_quality,RAW,NEGATIVE,7,9,TP1_REACHED,9,10
A,broad_3d_source_quality,RECOVERED_DEGRADED,NEGATIVE,2,9,TP1_REACHED,1,10
A,broad_7d_complete,NO,NEGATIVE,0,9,TP1_REACHED,2,10
A,broad_7d_complete,YES,NEGATIVE,9,9,TP1_REACHED,8,10
A,broad_7d_source_quality,RAW,NEGATIVE,6,9,TP1_REACHED,5,10
A,broad_7d_source_quality,RECOVERED_DEGRADED,NEGATIVE,3,9,TP1_REACHED,5,10
A,directional_liquidity_present,NO,NEGATIVE,4,9,TP1_REACHED,2,10
A,directional_liquidity_present,YES,NEGATIVE,5,9,TP1_REACHED,8,10
A,directional_liquidity_side,BUY_SIDE,NEGATIVE,4,9,TP1_REACHED,3,10
A,directional_liquidity_side,MISSING,NEGATIVE,4,9,TP1_REACHED,2,10
A,directional_liquidity_side,SELL_SIDE,NEGATIVE,1,9,TP1_REACHED,5,10
A,matched_registry_accepted_beyond_in_direction,MISSING,NEGATIVE,0,9,TP1_REACHED,1,10
A,matched_registry_accepted_beyond_in_direction,NO,NEGATIVE,1,9,TP1_REACHED,4,10
A,matched_registry_accepted_beyond_in_direction,YES,NEGATIVE,8,9,TP1_REACHED,5,10
A,matched_registry_first_sweep_present,MISSING,NEGATIVE,0,9,TP1_REACHED,1,10
A,matched_registry_first_sweep_present,NO,NEGATIVE,5,9,TP1_REACHED,7,10
A,matched_registry_first_sweep_present,YES,NEGATIVE,4,9,TP1_REACHED,2,10
A,matched_registry_lifecycle_present,NO,NEGATIVE,0,9,TP1_REACHED,1,10
A,matched_registry_lifecycle_present,YES,NEGATIVE,9,9,TP1_REACHED,9,10
A,opposing_zone_accepted_beyond_in_direction,MISSING,NEGATIVE,0,9,TP1_REACHED,1,10
A,opposing_zone_accepted_beyond_in_direction,NO,NEGATIVE,9,9,TP1_REACHED,9,10
A,opposing_zone_already_interacted,MISSING,NEGATIVE,0,9,TP1_REACHED,1,10
A,opposing_zone_already_interacted,YES,NEGATIVE,9,9,TP1_REACHED,9,10
A,opposing_zone_consumption_status,MISSING,NEGATIVE,9,9,TP1_REACHED,10,10
A,opposing_zone_first_sweep_present,MISSING,NEGATIVE,0,9,TP1_REACHED,1,10
A,opposing_zone_first_sweep_present,NO,NEGATIVE,9,9,TP1_REACHED,9,10
A,opposing_zone_present,NO,NEGATIVE,0,9,TP1_REACHED,1,10
A,opposing_zone_present,YES,NEGATIVE,9,9,TP1_REACHED,9,10
A,opposing_zone_price_position,INSIDE,NEGATIVE,9,9,TP1_REACHED,9,10
A,opposing_zone_price_position,MISSING,NEGATIVE,0,9,TP1_REACHED,1,10
A,opposing_zone_qualification,MISSING,NEGATIVE,0,9,TP1_REACHED,1,10
A,opposing_zone_qualification,SIGNIFICANT,NEGATIVE,9,9,TP1_REACHED,9,10
A,opposing_zone_status,MISSING,NEGATIVE,0,9,TP1_REACHED,1,10
A,opposing_zone_status,SIGNIFICANT,NEGATIVE,9,9,TP1_REACHED,9,10
A,quality_chronology_anomaly,MISSING,NEGATIVE,9,9,TP1_REACHED,10,10
A,quality_conversion_available,YES,NEGATIVE,9,9,TP1_REACHED,10,10
A,quality_degraded_or_recovered_feed,NO,NEGATIVE,7,9,TP1_REACHED,9,10
A,quality_degraded_or_recovered_feed,YES,NEGATIVE,2,9,TP1_REACHED,1,10
A,quality_historical_prediction_cutoff_proxy,YES,NEGATIVE,9,9,TP1_REACHED,10,10
A,quality_open_interest_available,YES,NEGATIVE,9,9,TP1_REACHED,10,10
A,quality_open_price_close_fallback,NO,NEGATIVE,9,9,TP1_REACHED,10,10
A,quality_prediction_cutoff_source,historical_executor_fill_proxy,NEGATIVE,9,9,TP1_REACHED,10,10
A,quality_zone_history_available,NO,NEGATIVE,0,9,TP1_REACHED,1,10
A,quality_zone_history_available,YES,NEGATIVE,9,9,TP1_REACHED,9,10
A,recent_cleared_structure_present,NO,NEGATIVE,9,9,TP1_REACHED,10,10
A,seg_1440_240_complete,YES,NEGATIVE,9,9,TP1_REACHED,10,10
A,seg_1440_240_source_quality,RAW,NEGATIVE,7,9,TP1_REACHED,9,10
